title,source,url,json_content

Writing a formated binary file from a Pandas Dataframe,Stack Overflow,N/A,"{""tags"": [""python"", ""numpy"", ""pandas"", ""binaryfiles""], ""question_score"": 10, ""is_accepted"": false, ""answer_id"": 51106891, ""is_answered"": false, ""question_id"": 26348095, ""item_type"": ""answer"", ""score"": 10, ""last_activity_date"": 1722714735, ""creation_date"": 1530293797, ""body"": ""Pandas now offers a wide variety of formats:\n\nFor small to medium sized files, I prefer CSV, as properly-formatted CSV can store arbitrary string data, is human readable, and is as dirt-simple as any format can be while achieving the previous two goals.\nUnfortunately, for more complex problems, the choice is harder.\nIf I were on Amazon AWS, I would consider using parquet.  However, I do not have any experience with this format.\nI can no longer favor the pickle format.  Although the pickle format claims long term stability, it allows arbitrary code execution. And even if no code is actually stored in the pickle, ALL pickles execute code just to unpickle them, which is what lead the folks at huggingface to recommend first pickle-tools for scanning pickles and then safetensors as an alternative to pickles.  But for saving and loading pandas tables, safetensors is not an option, as they are designed for large multidimensional arrays of floating-point values (&quot;tensors&quot;) not for tabular data.\nI do not recommend using .  is best for quick file storage where you do not expect the file to be used on a different machine where the data may have a different endianness (big-/little-endian).\nI no longer favor the HDF5 format. It has serious risks for long-term archival since it is fairly complex. It has a 150 page specification, and only one 300,000 line C implementation.\nIf you have advice on stable, secure, binary formats for saving your own pandas data, please share them!  In the meantime, I think CSV for small data and zipped CSVs to save disk space or network bandwidth when needed may be the best way to go.  I personally try to avoid any pandas format that requires more than plain-text to store, if possible.\n"", ""excerpt"": ""Pandas now offers a wide variety of formats:\nFormat Type Data Description     Reader         Writer\ntext        CSV                  read_csv       to_csv\ntext        JSON                 read_json    &hellip; "", ""title"": ""Writing a formated binary file from a Pandas Dataframe""}"

load a model from checkpoint folder in pyTorch,Stack Overflow,N/A,"{""tags"": [""python"", ""pytorch"", ""checkpointing""], ""question_score"": 0, ""is_accepted"": false, ""answer_id"": 78795465, ""is_answered"": false, ""question_id"": 78795407, ""item_type"": ""answer"", ""score"": 1, ""last_activity_date"": 1721944722, ""creation_date"": 1721942193, ""body"": ""Have you tried the  flag? Setting to false will prevent the model from being saved as a .safetensors file.\nHere&#39;s a base example:-\n\nIn your case this would be\n\nEdit:- Who the HF model class inherits from determines the serializer used when its set to off.  uses pickle to deserialize. The  uses  so you should be able to load it in with the above method.\n\n\n\nHF Model Parent/Donor Class\n.save_pretrained(safe_serialization=?)\nserializer\nNative Pytorch Deserialisation Support\n\n\n\n\nPretrainedModel\noff\npickle\nY\n\n\nTFPretrainedModel\noff\nh5\nN\n\n\nFlaxPretrainedModel\noff\nmsgpack\nN\n\n\n\nsave_pretrained()\nPeft model donor\n"", ""excerpt"": ""Have you tried the safe_serialization flag? Setting to false will prevent the model from being saved as a .safetensors file.\nHere&#39;s a base example:-\nfrom transformers import AutoModel\n\nmodel = AutoMod &hellip; "", ""title"": ""load a model from checkpoint folder in pyTorch""}"

safetensors_rust.SafetensorError: Error while deserializing header: HeaderTooLarge,Stack Overflow,N/A,"{""tags"": [""python"", ""large-language-model"", ""peft""], ""question_score"": 2, ""is_accepted"": false, ""has_accepted_answer"": false, ""answer_count"": 1, ""is_answered"": true, ""question_id"": 77630319, ""item_type"": ""question"", ""score"": 2, ""last_activity_date"": 1721813652, ""creation_date"": 1702102068, ""body"": ""When fine-tuning a Large Language model (Qwen), there is no .bin ending model files but only .safetensors. The following error occurs when importing this pre-trained model. The specific code and error information are as follows.\ncode:\n\nerror information:\n\nI would like to know how to solve this problem.\n"", ""excerpt"": ""When fine-tuning a Large Language model (Qwen), there is no .bin ending model files but only .safetensors. The following error occurs when importing this pre-trained model. The specific code and error &hellip; "", ""title"": ""safetensors_rust.SafetensorError: Error while deserializing header: HeaderTooLarge""}"

Convert safetensors model format(LLaVA model) into gguf format,Stack Overflow,N/A,"{""tags"": [""machine-learning"", ""artificial-intelligence"", ""large-language-model""], ""question_score"": 0, ""is_accepted"": false, ""has_accepted_answer"": false, ""answer_count"": 0, ""is_answered"": false, ""question_id"": 78763327, ""item_type"": ""question"", ""score"": 0, ""last_activity_date"": 1721671950, ""creation_date"": 1721292473, ""body"": ""I want to do LLaVA inference in ollama, so I need to convert it in gguf file format.\nMy model has the file format safetensors.(trained with lora)\nIt seems that ollama supports only llama, but not llava as shown here,\nhttps://github.com/ollama/ollama/blob/main/docs/import.md\nI followed the instruction of llama.cpp, and used the code convert_lora_to_gguf.py here,\nhttps://github.com/ggerganov/llama.cpp/blob/master/convert_lora_to_gguf.py\nBut I get an error like,\n\nIf I write llama model in config.json of model file and run following code, then I got another error.\n\n\nIt seems that all codes and gguf package don&#39;t support llava, but llama only. I have to convert my own trained model into gguf. I cannot use gguf llava model from hugging face for inference.\nIs there a way to convert it?\n"", ""excerpt"": ""I want to do LLaVA inference in ollama, so I need to convert it in gguf file format.\nMy model has the file format safetensors.(trained with lora)\nIt seems that ollama supports only llama, but not llav &hellip; "", ""title"": ""Convert safetensors model format(LLaVA model) into gguf format""}"

why is my fine tuned model being saved as a safetensors file?,Stack Overflow,N/A,"{""tags"": [""python"", ""tensorflow"", ""classification"", ""huggingface-transformers"", ""image-classification""], ""question_score"": 0, ""is_accepted"": false, ""has_accepted_answer"": false, ""answer_count"": 0, ""is_answered"": false, ""question_id"": 78627955, ""item_type"": ""question"", ""score"": 0, ""last_activity_date"": 1718494830, ""creation_date"": 1718494830, ""body"": ""since im fairly new to this im trying to understand things slowly but this one thing has confused me a lot, is there a way to save the file to .h5 format or to convert it to tflite ? is the model good for mobile applications ? i havent figured it out ,and i really don&#39;t know what to do with this safetensor file that seems to only hold the model and no weights\ni have fine tuned a vit model on a dataset so i wanted to save it, which i did using \ni am using this particular model from huggingface\n\nnow im left with a safetensor format\n"", ""excerpt"": ""i havent figured it out ,and i really don&#39;t know what to do with this <span class=\""highlight\"">safetensor</span> file that seems to only hold the model and no weights\ni have fine tuned a vit model on a dataset so i wanted to save it, &hellip; ViTForImageClassification.from_pretrained(&#39;google/vit-base-patch16-224-in21k&#39;, num_labels=num_classes)\n\nfeature_extractor = AutoProcessor.from_pretrained(&#39;google/vit-base-patch16-224-in21k&#39;)\n\nnow im left with a <span class=\""highlight\"">safetensor</span> &hellip; "", ""title"": ""why is my fine tuned model being saved as a safetensors file?""}"

"What are the standard, stable file formats used in Python for Data Science?",Stack Overflow,N/A,"{""tags"": [""python"", ""pandas"", ""numpy""], ""question_score"": 0, ""is_accepted"": true, ""answer_id"": 63583265, ""is_answered"": false, ""question_id"": 63583264, ""item_type"": ""answer"", ""score"": 3, ""last_activity_date"": 1718301653, ""creation_date"": 1598373013, ""body"": ""Arbitrary Python data and code can be stored in the  pickle format.  While pickle files have security concerns because loading them can execute arbitrary code, if you can trust the source of a pickle file, it is a stable format.\nThe Python standard library&#39;s pickle page:\n\nThe pickle serialization format is guaranteed to be backwards compatible across Python releases provided a compatible pickle protocol is chosen and pickling and unpickling code deals with Python 2 to Python 3 type differences if your data is crossing that unique breaking change language boundary.\n\nSecurity concerns around the pickle format continue to grow.  While many deep learning models were originally distributed in the .pkl format, hugging face has championed distributing models in their safetensor format instead -- a move I guess the industry is likely to follow.\nMost python data can also be stored in the json format.  I haven&#39;t used this format much myself, but dawg recommends it.   Like the CSV and tab-delimited format I recommend for Pandas, the json format is a plain-text format that is very stable.\nNumpy arrays can be stored in the  or  numpy formats.  The npy format is a very simple format that stores a single numpy array.  I imagine it would be easy to read this format in any language.  The npz format allows the storing of multiple arrays in the same file.  Adapted from the docs,\n\nIf the integrity of the file being loaded is not guaranteed, be sure to use  to avoid arbitrary code execution.\nNote that  does NOT save in the stable  format. Although it looks more convenient because it simply calls a method on the data to be saved, this is not an option for saving data.\nPandas dataframes can be stored in a variety of formats.  As I wrote in a previous answer, Pandas offers a wide variety of formats.  For small datasets, I find plaintext file formats such as CSV and tab-delimited to work well for most purposes.  These formats are readable in a wide variety of languages and I have had no issues in working in a bilingual R and Python environment where both environments read from these files.\n\nWhen writing csv and tab files from pandas, I often use the  option to avoid saving the index, which loads as an oddly-named column by default.\n"", ""excerpt"": ""While many deep learning models were originally distributed in the .pkl format, hugging face has championed distributing models in their <span class=\""highlight\"">safetensor</span> format instead -- a move I guess the industry is likely &hellip; "", ""title"": ""What are the standard, stable file formats used in Python for Data Science?""}"

"&quot;_pickle.UnpicklingError: invalid load key, &#39;&#216;&#39;.&quot; error when using safetensors models in torchserve",Stack Overflow,N/A,"{""tags"": [""python"", ""pytorch"", ""pickle"", ""large-language-model"", ""safe-tensors""], ""question_score"": 0, ""is_accepted"": false, ""has_accepted_answer"": false, ""answer_count"": 0, ""is_answered"": false, ""question_id"": 78617727, ""item_type"": ""question"", ""score"": 0, ""last_activity_date"": 1718280335, ""creation_date"": 1718280193, ""body"": ""I&#39;m trying to run an LLM model using torchserve, mainly following this guide and this quickstart. In particular I&#39;m trying to use the model mistralai/Mistral-7B-v0.3, but it doesn&#39;t matter since I&#39;ve tried a lot of different models from different providers.\nSome of the models I download can be used with a pytorch_model.bin.index.json, and I&#39;m able to run that just fine, but some others only come indexed with safetensors.model.index.json, and when using this, I get this stacktrace:\n\nIn particular, I think that the line that may be originating this issue is line 45 from , since I suspect the  method may need some further tuning to load a safetensors model or something similar. This error is found in multiple entries in a lot of forums, but none of the provided answers work for me (e.g. file is not corrupted or malformatted, and I have safetensors installed).\nIs there any tuning that can be done to avoid this error and properly load a model using safetensors?\nEdit:\nI would also like to mention that I found this question that mentions pickle files having issues when being compressed. However, the library is not mine and I don&#39;t think I have control whether they are compressed or not, so could you confirm if this may indeed be the same issue, and in that case, waht would the solution be?\n"", ""excerpt"": ""I&#39;m trying to run an LLM model using torchserve, mainly following this guide and this quickstart. In particular I&#39;m trying to use the model mistralai/Mistral-7B-v0.3, but it doesn&#39;t matter since I&#39;ve  &hellip; "", ""title"": ""&quot;_pickle.UnpicklingError: invalid load key, &#39;&#216;&#39;.&quot; error when using safetensors models in torchserve""}"

Adding multiple LoRa safetensors to my HuggingFace model in Python,Stack Overflow,N/A,"{""tags"": [""python"", ""model"", ""safe-tensors"", ""diffusers""], ""question_score"": 1, ""is_accepted"": false, ""has_accepted_answer"": false, ""answer_count"": 2, ""is_answered"": true, ""question_id"": 77059057, ""item_type"": ""question"", ""score"": 1, ""last_activity_date"": 1717719397, ""creation_date"": 1694084969, ""body"": ""Suppose I use this script to load one fine-tuned model: (example taken from https://towardsdatascience.com/hugging-face-diffusers-can-correctly-load-lora-now-a332501342a3)\n\nThis adds one safetensors file. How can I load multiple safetensors? I tried the  argument when instantiating the , but it is unclear where I should put the safetensors folder I have. I have such an error:\n\nOSError: Could not found the necessary  weights in {&#39;vae/diffusion_pytorch_model.safetensors&#39;,\n&#39;text_encoder/pytorch_model.bin&#39;, &#39;safety_checker/model.safetensors&#39;, &#39;vae/diffusion_pytorch_model.bin&#39;,\n&#39;text_encoder/model.safetensors&#39;, &#39;unet/diffusion_pytorch_model.bin&#39;, &#39;safety_checker/pytorch_model.bin&#39;,\n&#39;unet/diffusion_pytorch_model.safetensors&#39;} (variant=None)\n\nI have also tried to load the weights one after the other, but results suggest that I&#39;m not keeping the previous loaded weights.\n"", ""excerpt"": ""Suppose I use this script to load one fine-tuned model: (example taken from https://towardsdatascience.com/hugging-face-diffusers-can-correctly-load-lora-now-a332501342a3)\nimport torch\nfrom diffusers  &hellip; "", ""title"": ""Adding multiple LoRa safetensors to my HuggingFace model in Python""}"

Model.save_pretrained is not saving .bin files,Stack Overflow,N/A,"{""tags"": [""huggingface-transformers"", ""huggingface"", ""fine-tuning"", ""huggingface-trainer""], ""question_score"": 0, ""is_accepted"": false, ""answer_id"": 78548491, ""is_answered"": false, ""question_id"": 78266961, ""item_type"": ""answer"", ""score"": 0, ""last_activity_date"": 1717072342, ""creation_date"": 1716974057, ""body"": "" is the binary of your model, model.bin is not used on new versions of transformers but safer format .safetensors\n"", ""excerpt"": ""model.safetensors is the binary of your model, model.bin is not used on new versions of transformers but safer format .safetensors\n"", ""title"": ""Model.save_pretrained is not saving .bin files""}"

How to download a model from huggingface?,Stack Overflow,N/A,"{""tags"": [""huggingface-transformers"", ""transformer-model""], ""question_score"": 74, ""is_accepted"": false, ""answer_id"": 78468453, ""is_answered"": false, ""question_id"": 67595500, ""item_type"": ""answer"", ""score"": 0, ""last_activity_date"": 1715529083, ""creation_date"": 1715529083, ""body"": ""If you&#39;d like to download just a model weights from the huggingface, you can do that just with . Open weights page (for example, for the SDXL model, it is sd_xl_base_1.0.safetensors), copy the link from the download hyperlink, and then download weights in terminal using this command:&#160;\n\n"", ""excerpt"": ""If you&#39;d like to download just a model weights from the huggingface, you can do that just with wget. Open weights page (for example, for the SDXL model, it is sd_xl_base_1.0.safetensors), copy the lin &hellip; "", ""title"": ""How to download a model from huggingface?""}"

Problem with deploying finetuned gemma in AWS sagemaker as an endpoint,Stack Overflow,N/A,"{""tags"": [""amazon-web-services"", ""huggingface-transformers"", ""amazon-sagemaker"", ""large-language-model"", ""gemma""], ""question_score"": 0, ""is_accepted"": false, ""has_accepted_answer"": false, ""answer_count"": 1, ""is_answered"": false, ""question_id"": 78406505, ""item_type"": ""question"", ""score"": 0, ""last_activity_date"": 1714493380, ""creation_date"": 1714456758, ""body"": ""\nI have finetuned a gemma 7b LLM from HuggingFace using Lora and stored the model as a compressed  .tar.gz file.\nI have finetuned locally in sagemaker.\n\n\n\nthis is my .tar.gz  file structure of finetuned model :\n\nfinetuned_gemma/model-00004-of-00004.safetensors\nfinetuned_gemma/tokenizer_config.json\nfinetuned_gemma/model.safetensors.index.json\nfinetuned_gemma/config.json\nfinetuned_gemma/model-00002-of-00004.safetensors\nfinetuned_gemma/generation_config.json\nfinetuned_gemma/special_tokens_map.json\nfinetuned_gemma/model-00001-of-00004.safetensors\nfinetuned_gemma/tokenizer.json\nfinetuned_gemma/code/\nfinetuned_gemma/code/requirements.txt\nfinetuned_gemma/code/.ipynb_checkpoints/\nfinetuned_gemma/code/.ipynb_checkpoints/requirements-checkpoint.txt\nfinetuned_gemma/code/inference.py\nfinetuned_gemma/model-00003-of-00004.safetensors\n\nThe finetuned model is also stored in aws s3.\nHow do I now deploy the model as a sagemaker endpoint?\nBy the way I have used transformers version 4.38.0 as it is the minimum requirement for gemma tokenizer.\nI want to know how to deploy it along with the image Uri.\nPlease help\nI tried using sagemaker.huggingfacemodel and then tried deploying it but I&#39;m facing lots of difficulties.\n"", ""excerpt"": ""\nI have finetuned a gemma 7b LLM from HuggingFace using Lora and stored the model as a compressed  .tar.gz file.\nI have finetuned locally in sagemaker.\n\n\n\nthis is my .tar.gz  file structure of finetun &hellip; "", ""title"": ""Problem with deploying finetuned gemma in AWS sagemaker as an endpoint""}"

converting safe.tensor to pytorch bin files,Stack Overflow,N/A,"{""tags"": [""pytorch"", ""nlp"", ""huggingface-transformers"", ""tensor""], ""question_score"": 1, ""is_accepted"": false, ""answer_id"": 78371698, ""is_answered"": false, ""question_id"": 78329328, ""item_type"": ""answer"", ""score"": 0, ""last_activity_date"": 1713868936, ""creation_date"": 1713868936, ""body"": ""You will get a model in .safetensors format if you save the model using the following code:\nmodel.save_pretrained(&#39;folder/&#39;).\nAnd you will get a .bin format model if you save the model using the following code:\ntorch.save(model.state_dict(),&#39;folder/pytorch_model.bin&#39;.format(epoch)).\nAlternatively, you can use\nmodel.save_pretrained(output_dir, safe_serialization=False).\nWhen you downgrade the transformers library, it will automatically save the model in a .bin file.\n"", ""excerpt"": ""You will get a model in .safetensors format if you save the model using the following code:\nmodel.save_pretrained(&#39;folder/&#39;).\nAnd you will get a .bin format model if you save the model using the follo &hellip; "", ""title"": ""converting safe.tensor to pytorch bin files""}"

Loading a safetensor file in transformers,Stack Overflow,N/A,"{""tags"": [""python-3.x"", ""machine-learning"", ""nlp"", ""huggingface-transformers""], ""question_score"": 2, ""is_accepted"": false, ""has_accepted_answer"": false, ""answer_count"": 4, ""is_answered"": true, ""question_id"": 76247802, ""item_type"": ""question"", ""score"": 2, ""last_activity_date"": 1712867436, ""creation_date"": 1684071978, ""body"": ""I have downloaded this model from huggingface. I am trying to load this model in transformers so I can do inferencing:\n\nBut i get the error saying that it expects a .bin or .h5 or .ckpt files but the above has only .safetensors or .pt files\nHow do i load the model?\n"", ""excerpt"": ""I have downloaded this model from huggingface. I am trying to load this model in transformers so I can do inferencing:\nfrom transformers import AutoTokenizer, AutoModelForCausalLM\n\ntokenizer = AutoTok &hellip; "", ""title"": ""Loading a safetensor file in transformers""}"

How to converting GIT (ImageToText / image captioner ) model to ONNX format,Stack Overflow,N/A,"{""tags"": [""deep-learning"", ""artificial-intelligence"", ""huggingface-transformers"", ""onnx"", ""onnxruntime""], ""question_score"": 0, ""is_accepted"": false, ""has_accepted_answer"": false, ""answer_count"": 0, ""is_answered"": false, ""question_id"": 78223504, ""item_type"": ""question"", ""score"": 0, ""last_activity_date"": 1711437249, ""creation_date"": 1711436851, ""body"": ""I want to convert  GIT model  to .ONNX\nI&#39;ve found a tool called &#129303; Optimum but it does not support GIT model architecture , It says You need to pass a custom ONNX config so it can convert GIT from .safetensors to .onnx and it is not able to do it natively, And the problem is I couldn&#39;t find any onnx config for it yet or any alternative solution.\nthis is the command I used for conversion.\n\noptimum-cli error picture\n"", ""excerpt"": ""I want to convert  GIT model  to .ONNX\nI&#39;ve found a tool called &#129303; Optimum but it does not support GIT model architecture , It says You need to pass a custom ONNX config so it can convert GIT from .sa &hellip; "", ""title"": ""How to converting GIT (ImageToText / image captioner ) model to ONNX format""}"

How to convert model.safetensor to pytorch_model.bin?,Stack Overflow,N/A,"{""tags"": [""machine-learning"", ""pytorch"", ""bert-language-model"", ""sentence-transformers""], ""question_score"": 5, ""is_accepted"": false, ""has_accepted_answer"": true, ""answer_count"": 2, ""is_answered"": true, ""question_id"": 77708996, ""item_type"": ""question"", ""score"": 5, ""last_activity_date"": 1711010902, ""creation_date"": 1703364200, ""body"": ""I&#39;m fine tuning a pre-trained bert model and i have a weird problem:\nWhen i&#39;m fine tuning using the CPU, the code saves the model like this:\n\nWith the &quot;pytorch_model.bin&quot;. But when i use CUDA (that i have to), the model is saved like this:\n\nWhen i try to load this &quot;model.safetensors&quot; in the future, it raises an error &quot;pytorch_model.bin&quot; not found. I&#39;m using two differents venvs to test using the CPU and CUDA.\nHow to solve this? is some version problem?\nI&#39;m using sentence_transformers framework to fine-tune the model.\nHere&#39;s my training code:\n\nI did try the tests in two differentes venvs, and i&#39;m expecting the code to save a &quot;pytorch_model.bin&quot; not a &quot;model.safetensors&quot;.\nEDIT: i really don&#39;t know yet, but it seems that is the newer versions of transformers library that causes this problem. I saw that with hugging-face is possible to load the safetensors, but with Sentence-transformers (that i need to use) it&#39;s not.\n"", ""excerpt"": ""I&#39;m fine tuning a pre-trained bert model and i have a weird problem:\nWhen i&#39;m fine tuning using the CPU, the code saves the model like this:\n\nWith the &quot;pytorch_model.bin&quot;. But when i use CUDA (that i  &hellip; "", ""title"": ""How to convert model.safetensor to pytorch_model.bin?""}"

How to properly save the finetuned transformer model in safetensors without losing frozen parameters?,Stack Overflow,N/A,"{""tags"": [""python"", ""pytorch"", ""huggingface-transformers"", ""accelerate"", ""safe-tensors""], ""question_score"": 1, ""is_accepted"": false, ""has_accepted_answer"": false, ""answer_count"": 2, ""is_answered"": false, ""question_id"": 78019134, ""item_type"": ""question"", ""score"": 1, ""last_activity_date"": 1710927530, ""creation_date"": 1708329977, ""body"": ""I have been trying to finetune a casual LM model by retraining its lm_head layer. I&#39;ve been training with Deepspeed Zero stage 3 (this part works fine). But I have problem saving my finetuned model and loading it back. I think the problem is that the  function automatically ignores the frozen parameters during saving. Here is my code and error messages:\n\nThe codes above will print a warning:\n\nAnd the saved model only takes 7MB disk space, however, I was expecting the saved model to be over 30GB. Looks like only the unfrozen part is saved to disk.\nTo verify my speculation, I tried to load it back with the following codes:\n\nBut it will result in an error of size mismatch.\n\nI alse tried following the instruction in the error message, but it&#39;s not working, either. The program printed a list of warnings and got stuck.\n\nThe warning messages clearly suggests loading the finetuned model is unsuccessful, and the reason why the program stuck looks like another issue. But all in all, my problem is how to save the full model instead of only the finetuned parameters? What&#39;s the proper convention to save/load finetuned huggingface models ?\nExpected Behaviors:\nThe  should save all the tensors in the huggingface transformer model, even if their  attribute is False.\n--- UPDATE ---\nI just located the cause of my problem. The state_dicts works fine during the entire saving process, but  function (in site-packages/transformers/pytorch_utils.py) will not get the correct pointer to the tensor. The output of this function will always be . \nIn practice, the  should be equal to the memory address of the tensor instead of 0. Thus, the source of this issue must lie in  function.\n"", ""excerpt"": ""I have been trying to finetune a casual LM model by retraining its lm_head layer. I&#39;ve been training with Deepspeed Zero stage 3 (this part works fine). But I have problem saving my finetuned model an &hellip; "", ""title"": ""How to properly save the finetuned transformer model in safetensors without losing frozen parameters?""}"

