title,description,url,tags
Modeling disruptions to the Marine Transportation System,"The Marine Transportation System (MTS) is a vital part of the nation’s supply chain. The vast majority of U.S. overseas trade is carried by the MTS and its operation plays a major role in the nation’s GDP and overall prosperity. An efficient MTS reduces congestion in ports, railways, and roadways, reduces costs to consumers and business owners, and promotes homeland and national security.",https://caoe.asu.edu/project/modeling-disruptions-to-the-marine-transportation-system-mts/,Economic analysis;Present
Evaluating trustworthiness of AI-enabled systems,"The advancement of artificial intelligence (AI), including machine learning (ML) and increasingly autonomous systems, has resulted in a push for technical standards that can assess the trustworthiness of these technologies. Developing standards have the potential to drive the design and development of trustworthy systems, and to more cost-effectively evaluate AI-enabled systems during technology acquisition or regulation.",https://caoe.asu.edu/project/assessing-trustworthiness-of-ai-enabled-systems/,Data analytics;Past
Improving effectiveness of procurement processes,Properly managed contractor/supplier management systems include a robust performance monitoring and improvement mechanism. The Department of Homeland Security (DHS) is beginning to invest artificial intelligence/machine learning (AIML) technology into the Contractor Performance Assessment Reporting System (CPARS).,https://caoe.asu.edu/project/improving-effectiveness-of-procurement-processes/,Data analytics;Present
Optimization for disaster response including COVID-19,The risk of natural disasters and national emergencies drives the need for real-time decision-making to guide the allocation of critical resources and the design of resilient and effective supply chains to respond effectively to these events.,https://caoe.asu.edu/project/optimization-for-disaster-response-including-covid-19/,Operations research and systems analysis;Past
Predicting cross-border migration patterns,"The challenge of securing the safe, orderly, and humane processing of migrants who arrive at our Southwest border is renderedincreasingly complicated due to the growing volume and substantial variations of this influx of migrants.",https://caoe.asu.edu/project/predicting-cross-border-migration-patterns/,Data analytics;Present
Validating risk models,"Efforts for homeland security face constantly evolving adversary tactics, rapid technological advances and changes in the overall environment. The challenge of preparing for new tactics is a very real risk for homeland security.",https://caoe.asu.edu/project/validating-risk-models/,Homeland security risk sciences;Present
Improving detection of threats at border operations,"Securing the border between Ports-of-Entry (POEs) uses a variety of both physical and virtual infrastructure to detect, deter and disrupt pathways. The U.S. government is making substantial investments in both types of infrastructure to improve their capacity to prevent illegal smuggling and trafficking.",https://caoe.asu.edu/project/improving-detection-of-threats-at-border-operations/,Homeland security risk sciences;Past
Identifying biological weapons threats post COVID-19,"The COVID-19 pandemic has raised concerns on the state of biological warfare (BW) defense strategies. This includes identifying countries most likely to pursue the development of these BW capabilities, including the development of viable BW programs.",https://caoe.asu.edu/project/identifying-biological-weapons-threats-post-covid-19/,Homeland security risk sciences;Past
Strengthening Trust in Large Language Models,"The emergence of large language models (LLMs) such as ChatGPT has revolutionized information retrieval and interaction, particularly in intelligence analysis. However, concerns about their trustworthiness in security-critical applications persist due to security risks, factuality issues and biases. The project proposes a multifaceted approach to evaluating and enhancing the trustworthiness of large language models (LLMs), addressing key concerns related to security, factuality and biases.",https://caoe.asu.edu/project/strengthening-trust-in-large-language-models/,Data analytics;Present
Enhancing AI for Homeland Security,"The Multisource AI Scorecard Table (MAST) for Evaluating Generative AI in Worker-Automation Team Tasks (MEGAWATT) project aims to leverage MAST, a tool rooted in Intelligence Community Directive (ICD) 203, to evaluate and enhance the performance of large language models (LLMs) like OpenAI’s ChatGPT.",https://caoe.asu.edu/project/enhancing-ai-for-homeland-security/,Homeland security risk sciences;Present
Unlocking Software Safety with CHIAUS,"The CHIAUS project aims to revolutionize risk communication in software development and consumption by integrating human-centered interactions with Software Bill of Materials (SBOM) data. Led by Principal Investigator L Jean Camp and her team at Indiana University, the project addresses the pressing need for actionable, understandable risk communication in the software ecosystem.",https://caoe.asu.edu/project/unlocking-software-safety-with-chiaus/,Data analytics;Present
Fortifying Security Screenings by examining human-AI interaction,"In the realm of safety science, a paradigm shift towards resilience engineering offers new insights into addressing the challenges of complex systems, particularly in high-stakes environments like security screening. This project, Resilience Engineering for Visual Screening in Security Settings (REVS), aims to advance the understanding of resilience engineering principles within the context of security screening tasks.",https://caoe.asu.edu/project/fortifying-security-screenings-by-examining-human-ai-interaction/,Data analytics;Present
"COVID-19 impacts on health, behavior, resilience and trade","The future economic effects of COVID-19 are highly uncertain. Early predictions showed COVID-19 may plunge the U.S. into an economic recession. However, current conditions make it difficult to predict the length and severity of the pandemic and identify any long-term economic repercussions.",https://caoe.asu.edu/project/covid-19-impacts-on-health-behavior-resilience-and-trade/,Economic analysis;Past
Assessing threat landscapes through red teaming,"The risk of chemical warfare (CW) has increased in recent years. The Homeland Security Enterprise (HSE) has a need to identify state and non-state actors likely to pursue the development of CW as well determining the factors that identify the use of CW. These factors include the states overall strategic orientation to CW, the types of CW agents likely to be pursued and the other activities that would accompany CW development.",https://caoe.asu.edu/project/assessing-threat-landscapes-through-red-teaming/,Homeland security risk sciences;Present
Improving airport checkpoint efficiency,The combination of current airport space constraints and limited Transportation Security Officers coupled with projected increases in air travelers and rising number of security threats will put more pressure on TSA staff and resources.,https://caoe.asu.edu/project/improving-airport-checkpoint-efficiency/,Operations research and systems analysis;Present
Protecting privacy with deep-learning tools,"In the era of big data, the unprecedented speed and volume of data collection poses benefits as well as risks. The large amount of collected data contains critical information for daily homeland security operations as well as potential usage to enhance analytical capabilities for better decision-making.",https://caoe.asu.edu/project/protecting-privacy-with-deep-learning-tools/,Data analytics;Present
Creating new methods to preserve data privacy,Data sharing within DHS agencies and across components is challenging because of both privacy and security concerns. Many agencies remove sensitive but critical information from reports or documents to preserve privacy while others refrain from sharing data that could be useful to homeland security efforts due to the challenges of meeting and maintaining privacy requirements.,https://caoe.asu.edu/project/creating-new-methods-to-preserve-data-privacy/,Data analytics;Present
N/A,HomeCapabilitiesProjectsEducationContactPeopleNewsletter,N/A,
