repo_url,commit_hash,model_file_path,serialization_format,message,author,date,is_in_commit,change_status,elapsed_days
MCG-NJU/videomae-large-finetuned-kinetics,0f6adcd5f6902900aa0281f9daacfe52bb3c4ad4,model.safetensors,safetensors,"Adding `safetensors` variant of this model (#1)


- Adding `safetensors` variant of this model (c9a8592cb09d9aba65fa06c3b585cb6a66e8bfeb)


Co-authored-by: Safetensors convertbot <SFconvertbot@users.noreply.huggingface.co>",Niels Rogge,2024-03-29 03:39:53,True,+,553
MCG-NJU/videomae-large,12da269a02d3e1fbbb7011e610e591fea8061dca,model.safetensors,safetensors,"Adding `safetensors` variant of this model (#1)


- Adding `safetensors` variant of this model (79bca44b5b189c60617e477b65a831d517daa1df)


Co-authored-by: Safetensors convertbot <SFconvertbot@users.noreply.huggingface.co>",Niels Rogge,2024-04-01 03:22:51,True,+,556
ibm/re2g-reranker-nq,f421419390398a19af0e9b398e58a2bdee175d09,model.safetensors,safetensors,"Adding `safetensors` variant of this model (#1)


- Adding `safetensors` variant of this model (8d29355581ef9435a18b4f7314da31514612f968)


Co-authored-by: Safetensors convertbot <SFconvertbot@users.noreply.huggingface.co>",Michael Glass,2024-03-07 11:30:08,True,+,531
thefrigidliquidation/nllb-200-distilled-1.3B-bookworm,6cbcd97b299ce48febd7a359ebb533d45301afae,model.safetensors,safetensors,"Adding `safetensors` variant of this model (#2)


- Adding `safetensors` variant of this model (cc1f9bc67d9eecbe8fe998df02f980561bf60bed)


Co-authored-by: Safetensors convertbot <SFconvertbot@users.noreply.huggingface.co>",Frigid Liquidation,2024-04-14 14:45:22,True,+,569
sdadas/st-polish-paraphrase-from-mpnet,10818c0b7e2404c53823c594d9c0af00dff6ec62,model.safetensors,safetensors,"Adding `safetensors` variant of this model (#1)


- Adding `safetensors` variant of this model (dfb354711efeab1611ca071d5ba0977a6935d9cb)


Co-authored-by: Safetensors convertbot <SFconvertbot@users.noreply.huggingface.co>",Sławomir Dadas,2024-02-22 16:46:48,True,+,517
sdadas/st-polish-paraphrase-from-distilroberta,ddcb249a97ff9db4a03ef35ce96123084cb97a55,model.safetensors,safetensors,"Adding `safetensors` variant of this model (#2)


- Adding `safetensors` variant of this model (affba8d117978d94285cfcf27b185ceac917020b)


Co-authored-by: Safetensors convertbot <SFconvertbot@users.noreply.huggingface.co>",Sławomir Dadas,2024-02-22 09:12:06,True,+,517
deepset/deberta-v3-large-squad2,49b45e1827c15b942e2ef5fcdd3e9d93449c66b3,model.safetensors,safetensors,"Adding `safetensors` variant of this model (#9)


- Adding `safetensors` variant of this model (ca0bbbb3d0170de3113b098ab11ded15bcef6d24)


Co-authored-by: Safetensors convertbot <SFconvertbot@users.noreply.huggingface.co>",Mayank Jobanputra,2023-03-24 10:18:13,True,+,182
deepset/deberta-v3-base-squad2,937a9e842670a7d23f8dfd4be71bbb62d5a5636a,model.safetensors,safetensors,"Adding `safetensors` variant of this model (#6)


- Adding `safetensors` variant of this model (5fcc6cb32601b9dc22059dfa0ae4a6febbb22d91)


Co-authored-by: Safetensors convertbot <SFconvertbot@users.noreply.huggingface.co>",Mayank Jobanputra,2023-03-24 10:16:56,True,+,182
MCG-NJU/videomae-base-finetuned-kinetics,488eb9a0565f257b32866000305c8178965eb9f6,model.safetensors,safetensors,"Adding `safetensors` variant of this model (#3)


- Adding `safetensors` variant of this model (ded4e48b8b503c08f6edd9405b26d406f288824b)


Co-authored-by: Safetensors convertbot <SFconvertbot@users.noreply.huggingface.co>",Niels Rogge,2024-03-29 04:01:51,True,+,553
ckb/en-toki-mt,4dae4756a48ccbbb06d30f1b740b59c18f03073b,model.safetensors,safetensors,"Adding `safetensors` variant of this model (#2)


- Adding `safetensors` variant of this model (6351b4d82586cbfbf90cf33ea810cac63ec9c3c6)


Co-authored-by: Safetensors convertbot <SFconvertbot@users.noreply.huggingface.co>",ChenKB,2023-03-24 03:21:53,True,+,182
MCG-NJU/videomae-base-short,9fa00797f9e861e08e49069f5039d60e02b37122,model.safetensors,safetensors,"Adding `safetensors` variant of this model (#1)


- Adding `safetensors` variant of this model (676c19b0a11ca71728de4572a595d40a4242d48e)


Co-authored-by: Safetensors convertbot <SFconvertbot@users.noreply.huggingface.co>",Niels Rogge,2024-03-29 04:02:07,True,+,553
jonathandinu/face-parsing,8ee285cb01328e6b6d0d33f2cdbc6d8505ac069d,model.safetensors,safetensors,"Adding `safetensors` variant of this model (#1)


- Adding `safetensors` variant of this model (047ef79bb00be32b78387b41bf0ab130e6438afc)


Co-authored-by: Safetensors convertbot <SFconvertbot@users.noreply.huggingface.co>",Jonathan Dinu,2023-03-19 05:39:21,True,+,177
djagatiya/ner-bert-base-cased-ontonotesv5-englishv4,d7317404a842fc6dd26563cff753044d1619afcd,model.safetensors,safetensors,"Adding `safetensors` variant of this model (#1)


- Adding `safetensors` variant of this model (de6ca93a693cc6f3df31d2724dfc06018ba887a0)


Co-authored-by: Safetensors convertbot <SFconvertbot@users.noreply.huggingface.co>",djagatiya,2024-05-22 03:11:46,True,+,607
djagatiya/ner-albert-base-v2-ontonotesv5-englishv4,8fee927b046a7ae6ff7f51ff9af09db0a8169734,model.safetensors,safetensors,"Adding `safetensors` variant of this model (#1)


- Adding `safetensors` variant of this model (4f4ad461c67ecee9888a33eae2d48975072d294e)


Co-authored-by: Safetensors convertbot <SFconvertbot@users.noreply.huggingface.co>",djagatiya,2024-05-22 03:12:05,True,+,607
djagatiya/ner-roberta-base-ontonotesv5-englishv4,b3a96059d445ad87ecc71d89206037ea95da3bfc,model.safetensors,safetensors,"Adding `safetensors` variant of this model (#1)


- Adding `safetensors` variant of this model (de9e9d9dd879631bb34071af4d06a8b59c5bc564)


Co-authored-by: Safetensors convertbot <SFconvertbot@users.noreply.huggingface.co>",djagatiya,2024-05-22 03:10:53,True,+,607
pszemraj/long-t5-tglobal-base-16384-book-summary,0e8113153c2178a5d633867bc45fc4d426e3b04a,model.safetensors,safetensors,"Adding `safetensors` variant of this model (#20)


- Adding `safetensors` variant of this model (1166920762cb5f4d6e33313fc5c977d6c3a5c92f)


Co-authored-by: Safetensors convertbot <SFconvertbot@users.noreply.huggingface.co>",Peter Szemraj,2023-03-16 22:16:59,True,+,174
KES/TEC-English,945f3333ed0cf99e6bebef7ef08231ea268ded20,model.safetensors,safetensors,"Adding `safetensors` variant of this model (#1)


- Adding `safetensors` variant of this model (1edc22bb45df3927455f573048e49d357cf01971)


Co-authored-by: Safetensors convertbot <SFconvertbot@users.noreply.huggingface.co>",Keston Smith,2023-12-03 12:40:49,True,+,436
DingosGotMyBaby/uhn-twitch-chat,fb528cfee1a205629b467b1dccbf269f4de7ad7c,model.safetensors,safetensors,"Adding `safetensors` variant of this model (#1)


- Adding `safetensors` variant of this model (7ae969b7a0c6c20763bb96036fe3879b52d260f5)


Co-authored-by: Safetensors convertbot <SFconvertbot@users.noreply.huggingface.co>",Dingo,2023-04-04 03:54:54,True,+,193
chkla/parlbert-topic-german,61b1b398e5862b087a2bf8db8e9e77f8722e1589,model.safetensors,safetensors,"Adding `safetensors` variant of this model (#1)


- Adding `safetensors` variant of this model (0ab6e808343574f70c1e656db60a7ab7cd792ef0)


Co-authored-by: Safetensors convertbot <SFconvertbot@users.noreply.huggingface.co>",Christopher,2023-03-22 12:20:02,True,+,180
shibing624/mengzi-t5-base-chinese-correction,547133cb0f0fc3c1d858d587b56ebea078f9496b,model.safetensors,safetensors,"Adding `safetensors` variant of this model (#2)


- Adding `safetensors` variant of this model (3e4e79f3cbee78b62de4afb29e0f3783e4a98d4d)


Co-authored-by: Safetensors convertbot <SFconvertbot@users.noreply.huggingface.co>",xuming,2023-03-18 21:45:31,True,+,176
Yehor/w2v-xls-r-uk,cc3341fec8c54dae5253c41f028e0ed46e7ec704,model.safetensors,safetensors,"Adding `safetensors` variant of this model (#1)


- Adding `safetensors` variant of this model (8bc0cf0b987664f05c8170033af6c5a3c5e545c3)


Co-authored-by: Safetensors convertbot <SFconvertbot@users.noreply.huggingface.co>",Smoliakov,2024-07-23 13:19:21,True,+,669
MoritzLaurer/DeBERTa-v3-large-mnli-fever-anli-ling-wanli,05de80a7216c05a616667f65cf61669b261314ea,model.safetensors,safetensors,"Adding `safetensors` variant of this model (#1)


- Adding `safetensors` variant of this model (b35cc6544ed0482b906902773cd8be0d8d8bf3bb)


Co-authored-by: Safetensors convertbot <SFconvertbot@users.noreply.huggingface.co>",Moritz Laurer,2023-03-20 04:27:01,True,+,178
joaomsimoes/bertpt-portuguese-portugal,77ec8fed5b8a21e32e8c3ed167cf02fcdcbb7765,model.safetensors,safetensors,"Adding `safetensors` variant of this model (#2)


- Adding `safetensors` variant of this model (8fe27fb911fce4f870a7b1d2aa1092b9a73a4742)


Co-authored-by: Safetensors convertbot <SFconvertbot@users.noreply.huggingface.co>",Simoes,2024-01-31 06:03:53,True,+,495
bradgrimm/patent-cpc-predictor,1963b7647aef53080d0648917892fe5baceb0409,model.safetensors,safetensors,"Adding `safetensors` variant of this model (#1)


- Adding `safetensors` variant of this model (e083f7f5bfd3cb88ad44e96ae64d4f149605cc44)


Co-authored-by: Safetensors convertbot <SFconvertbot@users.noreply.huggingface.co>",Bradley Grimm,2024-01-31 15:11:27,True,+,495
facebook/levit-128S,46576b0c1bead4e89d89eb42e0a1ad4cb236fb20,model.safetensors,safetensors,"Adding `safetensors` variant of this model (#1)


- Adding `safetensors` variant of this model (bd26f94bd57f71399c53d8421dd6a0757cfbb28f)


Co-authored-by: Safetensors convertbot <SFconvertbot@users.noreply.huggingface.co>",Niels Rogge,2024-02-29 05:23:03,True,+,524
globuslabs/ScholarBERT-XL,dc0e57b49219f980dbf711763a7851f327d3fc5d,model.safetensors,safetensors,"Adding `safetensors` variant of this model (#1)


- Adding `safetensors` variant of this model (ab615f47ceb3f6be0c87352b59369f895a5a4aca)


Co-authored-by: Safetensors convertbot <SFconvertbot@users.noreply.huggingface.co>",Globus Labs,2023-05-05 13:21:40,True,+,224
bigscience/bloom-7b1,30e23bd98b419c5ef1c093cdc9ca2fefff9df371,model-00001-of-00002.safetensors,safetensors,"Adding `safetensors` variant of this model (#51)


- Adding `safetensors` variant of this model (7002f454fc2c08736dc9bd075cff2c2fa9c0eeba)


Co-authored-by: Safetensors convertbot <SFconvertbot@users.noreply.huggingface.co>",Christopher Akiki,2023-12-03 06:10:05,True,+,436
bigscience/bloom-7b1,30e23bd98b419c5ef1c093cdc9ca2fefff9df371,model-00002-of-00002.safetensors,safetensors,"Adding `safetensors` variant of this model (#51)


- Adding `safetensors` variant of this model (7002f454fc2c08736dc9bd075cff2c2fa9c0eeba)


Co-authored-by: Safetensors convertbot <SFconvertbot@users.noreply.huggingface.co>",Christopher Akiki,2023-12-03 06:10:05,True,+,436
vamossyd/emtract-distilbert-base-uncased-emotion,57ddac8a38881904ea95a274e2a16e0b4ed4dc18,model.safetensors,safetensors,"Adding `safetensors` variant of this model (#3)


- Adding `safetensors` variant of this model (95db41d0cb12986d1910152caab2c54952e7a804)


Co-authored-by: Safetensors convertbot <SFconvertbot@users.noreply.huggingface.co>",Domonkos F. Vamossy,2023-06-22 20:03:04,True,+,272
vamossyd/emtract-distilbert-base-uncased-emotion,eeaecc910e5ebc09a97af750d4b6b1a9c3e2a179,model.safetensors,safetensors,"Adding `safetensors` variant of this model (#2)


- Adding `safetensors` variant of this model (e7b946a2ea773c82086f5b3abaf6c1406d5e04e8)


Co-authored-by: Safetensors convertbot <SFconvertbot@users.noreply.huggingface.co>",Domonkos F. Vamossy,2023-06-20 10:57:18,True,+,270
rbawden/modern_french_normalisation,8c4b8e73eaa79a6cf3f7a5f97ec8a3fca2b9120d,model.safetensors,safetensors,"Adding `safetensors` variant of this model (#1)


- Adding `safetensors` variant of this model (7feefa14bcef725170b23228b21516a9f9c648ba)


Co-authored-by: Safetensors convertbot <SFconvertbot@users.noreply.huggingface.co>",Rachel Bawden,2023-05-03 08:08:18,True,+,222
shibing624/bert4ner-base-uncased,a3a63f7aaf47d6fb13ce0c01e4bab5c761bb36fd,model.safetensors,safetensors,"Adding `safetensors` variant of this model (#1)


- Adding `safetensors` variant of this model (c7ccb6c381a18921fd96d8f080d5158ccf4c0748)


Co-authored-by: Safetensors convertbot <SFconvertbot@users.noreply.huggingface.co>",Ming Xu (徐明),2023-07-01 01:26:28,True,+,281
shibing624/bert4ner-base-chinese,ab5c84d73ad95fd7e2e480567712bc9ac1dcbcf1,model.safetensors,safetensors,"Adding `safetensors` variant of this model (#1)


- Adding `safetensors` variant of this model (104432c45b354ed9bee33a63daaa604155f3dea2)


Co-authored-by: Safetensors convertbot <SFconvertbot@users.noreply.huggingface.co>",xuming,2023-03-20 02:51:06,True,+,178
tartuNLP/EstBERT_NER_v2,106eab99659d41d6bacca6a4908ccbaafe1d4eca,model.safetensors,safetensors,"Adding `safetensors` variant of this model (#1)


- Adding `safetensors` variant of this model (99c1e582e1b34382ca83f233ca13c639d235a93d)


Co-authored-by: Safetensors convertbot <SFconvertbot@users.noreply.huggingface.co>",Aleksei Dorkin,2023-08-01 06:36:29,True,+,312
deepset/all-mpnet-base-v2-table,33b7c95c36ed435938cade484fdd4e432488cdfe,model.safetensors,safetensors,"Adding `safetensors` variant of this model (#1)


- Adding `safetensors` variant of this model (4bec83d08da15a240af3b6e78733d99a8ecd23c0)


Co-authored-by: Safetensors convertbot <SFconvertbot@users.noreply.huggingface.co>",Sebastian Husch Lee,2024-04-10 05:55:51,True,+,565
gunghio/xlm-roberta-base-finetuned-panx-ner,8c3913c6f66e840b269cc90f38bfa9da7755535d,model.safetensors,safetensors,"Adding `safetensors` variant of this model (#2)


- Adding `safetensors` variant of this model (69f4c486fff6eb7db04bfa3021401366b00823e5)


Co-authored-by: Safetensors convertbot <SFconvertbot@users.noreply.huggingface.co>",Olmo Barberis,2024-04-25 09:07:41,True,+,580
juierror/thai-news-summarization,bbb937b176c6687f33bc50f257fd9fa2721e145f,model.safetensors,safetensors,"Adding `safetensors` variant of this model (#1)


- Adding `safetensors` variant of this model (dfd38414b75f70cb130566ce616dff97cd0563c0)


Co-authored-by: Safetensors convertbot <SFconvertbot@users.noreply.huggingface.co>",Siwa Boonpunmongkol,2024-04-25 02:18:58,True,+,580
rinna/japanese-cloob-vit-b-16,81bdd418765092420da72005cdd516893fb6f461,model.safetensors,safetensors,"Adding `safetensors` variant of this model (#1)


- Adding `safetensors` variant of this model (0c729fd68da8d48a1a307b161be016403ef42cea)


Co-authored-by: Safetensors convertbot <SFconvertbot@users.noreply.huggingface.co>",Kei Sawada,2024-07-22 04:09:24,True,+,668
rinna/japanese-clip-vit-b-16,b51a0c2ed8d32302eed60322299cc7103b0eaa39,model.safetensors,safetensors,"Adding `safetensors` variant of this model (#1)


- Adding `safetensors` variant of this model (d50ed6b357e23c88894f5b39477e71570a1d90b2)


Co-authored-by: Safetensors convertbot <SFconvertbot@users.noreply.huggingface.co>",Tianyu Zhao,2023-09-08 22:15:59,True,+,350
hustvl/yolos-small-300,e2c7cf55c121f027884d209ad08920e0d7fa0a66,model.safetensors,safetensors,"Adding `safetensors` variant of this model (#1)


- Adding `safetensors` variant of this model (cf942cc2797267c20df75be274efd8cb860cac40)


Co-authored-by: Safetensors convertbot <SFconvertbot@users.noreply.huggingface.co>",Niels Rogge,2023-06-26 15:49:08,True,+,276
hustvl/yolos-small,3c013821d32f297b48bc16de696ab2e52336a1bd,model.safetensors,safetensors,"Adding `safetensors` variant of this model (#2)


- Adding `safetensors` variant of this model (2ddff0d4556b219a5d1acf20eb6f191cbf183593)


Co-authored-by: Safetensors convertbot <SFconvertbot@users.noreply.huggingface.co>",Niels Rogge,2024-04-10 10:43:37,True,+,565
hustvl/yolos-tiny,1a00cc14a139ff40bac9aa00c745915cb7b5b751,model.safetensors,safetensors,"Adding `safetensors` variant of this model (#5)


- Adding `safetensors` variant of this model (da86128da961944dd8e33bb7c1baea46ed0a4753)


Co-authored-by: Safetensors convertbot <SFconvertbot@users.noreply.huggingface.co>",Niels Rogge,2023-06-05 07:57:44,True,+,255
microsoft/layoutlmv3-base,cfbbbff0762e6aab37086fdd4739ad14fe7d5db4,model.safetensors,safetensors,"Adding `safetensors` variant of this model (#12)


- Adding `safetensors` variant of this model (b2d3ffbf087084e734faf87f34bc631e2639873d)


Co-authored-by: Safetensors convertbot <SFconvertbot@users.noreply.huggingface.co>",Amy Roberts,2024-04-10 10:20:22,True,+,565
enelpol/evalatin2022-pos-open,a4e9762fb00c283b0b5c5bb9e013405c0e7b1350,model.safetensors,safetensors,"Adding `safetensors` variant of this model (#1)


- Adding `safetensors` variant of this model (9172a7cfd6ed251a6660bc9c377355ae826fcefe)


Co-authored-by: Safetensors convertbot <SFconvertbot@users.noreply.huggingface.co>",Aleksander Smywiński-Pohl,2024-02-06 12:22:43,True,+,501
enelpol/evalatin2022-lemma-closed,732dadec817e5539941f921f10c01cbe31890d3b,model.safetensors,safetensors,"Adding `safetensors` variant of this model (#1)


- Adding `safetensors` variant of this model (95fd521089b6c851a191afc7938ad26bdf7b750d)


Co-authored-by: Safetensors convertbot <SFconvertbot@users.noreply.huggingface.co>",Aleksander Smywiński-Pohl,2024-02-06 12:22:27,True,+,501
sentence-transformers/use-cmlm-multilingual,6f8ff6583c371cbc4d6d3b93a5e37a888fd54574,model.safetensors,safetensors,"Adding `safetensors` variant of this model (#2)


- Adding `safetensors` variant of this model (310b3e7922c942be0c2ec0acb304c3f6f56cfc42)",Tom Aarsen,2024-03-27 09:02:56,True,+,551
rycont/KoQuestionBART,3e6f46835c80e8e2aef95a87bc978e114dbc5d1a,model.safetensors,safetensors,"Adding `safetensors` variant of this model (#1)


- Adding `safetensors` variant of this model (34c2a47afe130a3fcdd6e855780ad36dd987cdfb)


Co-authored-by: Safetensors convertbot <SFconvertbot@users.noreply.huggingface.co>",Rycont Park,2023-12-01 05:52:28,True,+,434
EleutherAI/gpt-neox-20b,007b5cbc9ca9d293dcfe3f96b48bec6d03d87537,model-00001-of-00046.safetensors,safetensors,"Adding `safetensors` variant of this model (#13)


- Adding `safetensors` variant of this model (a7da0652a69c0d33d6bd860fa98508c066e651f4)


Co-authored-by: Olivier Dehaene <olivierdehaene@users.noreply.huggingface.co>",Stella Biderman,2023-02-07 01:46:15,True,+,137
EleutherAI/gpt-neox-20b,007b5cbc9ca9d293dcfe3f96b48bec6d03d87537,model-00002-of-00046.safetensors,safetensors,"Adding `safetensors` variant of this model (#13)


- Adding `safetensors` variant of this model (a7da0652a69c0d33d6bd860fa98508c066e651f4)


Co-authored-by: Olivier Dehaene <olivierdehaene@users.noreply.huggingface.co>",Stella Biderman,2023-02-07 01:46:15,True,+,137
EleutherAI/gpt-neox-20b,007b5cbc9ca9d293dcfe3f96b48bec6d03d87537,model-00003-of-00046.safetensors,safetensors,"Adding `safetensors` variant of this model (#13)


- Adding `safetensors` variant of this model (a7da0652a69c0d33d6bd860fa98508c066e651f4)


Co-authored-by: Olivier Dehaene <olivierdehaene@users.noreply.huggingface.co>",Stella Biderman,2023-02-07 01:46:15,True,+,137
EleutherAI/gpt-neox-20b,007b5cbc9ca9d293dcfe3f96b48bec6d03d87537,model-00004-of-00046.safetensors,safetensors,"Adding `safetensors` variant of this model (#13)


- Adding `safetensors` variant of this model (a7da0652a69c0d33d6bd860fa98508c066e651f4)


Co-authored-by: Olivier Dehaene <olivierdehaene@users.noreply.huggingface.co>",Stella Biderman,2023-02-07 01:46:15,True,+,137
EleutherAI/gpt-neox-20b,007b5cbc9ca9d293dcfe3f96b48bec6d03d87537,model-00005-of-00046.safetensors,safetensors,"Adding `safetensors` variant of this model (#13)


- Adding `safetensors` variant of this model (a7da0652a69c0d33d6bd860fa98508c066e651f4)


Co-authored-by: Olivier Dehaene <olivierdehaene@users.noreply.huggingface.co>",Stella Biderman,2023-02-07 01:46:15,True,+,137
EleutherAI/gpt-neox-20b,007b5cbc9ca9d293dcfe3f96b48bec6d03d87537,model-00006-of-00046.safetensors,safetensors,"Adding `safetensors` variant of this model (#13)


- Adding `safetensors` variant of this model (a7da0652a69c0d33d6bd860fa98508c066e651f4)


Co-authored-by: Olivier Dehaene <olivierdehaene@users.noreply.huggingface.co>",Stella Biderman,2023-02-07 01:46:15,True,+,137
EleutherAI/gpt-neox-20b,007b5cbc9ca9d293dcfe3f96b48bec6d03d87537,model-00007-of-00046.safetensors,safetensors,"Adding `safetensors` variant of this model (#13)


- Adding `safetensors` variant of this model (a7da0652a69c0d33d6bd860fa98508c066e651f4)


Co-authored-by: Olivier Dehaene <olivierdehaene@users.noreply.huggingface.co>",Stella Biderman,2023-02-07 01:46:15,True,+,137
EleutherAI/gpt-neox-20b,007b5cbc9ca9d293dcfe3f96b48bec6d03d87537,model-00008-of-00046.safetensors,safetensors,"Adding `safetensors` variant of this model (#13)


- Adding `safetensors` variant of this model (a7da0652a69c0d33d6bd860fa98508c066e651f4)


Co-authored-by: Olivier Dehaene <olivierdehaene@users.noreply.huggingface.co>",Stella Biderman,2023-02-07 01:46:15,True,+,137
EleutherAI/gpt-neox-20b,007b5cbc9ca9d293dcfe3f96b48bec6d03d87537,model-00009-of-00046.safetensors,safetensors,"Adding `safetensors` variant of this model (#13)


- Adding `safetensors` variant of this model (a7da0652a69c0d33d6bd860fa98508c066e651f4)


Co-authored-by: Olivier Dehaene <olivierdehaene@users.noreply.huggingface.co>",Stella Biderman,2023-02-07 01:46:15,True,+,137
EleutherAI/gpt-neox-20b,007b5cbc9ca9d293dcfe3f96b48bec6d03d87537,model-00010-of-00046.safetensors,safetensors,"Adding `safetensors` variant of this model (#13)


- Adding `safetensors` variant of this model (a7da0652a69c0d33d6bd860fa98508c066e651f4)


Co-authored-by: Olivier Dehaene <olivierdehaene@users.noreply.huggingface.co>",Stella Biderman,2023-02-07 01:46:15,True,+,137
EleutherAI/gpt-neox-20b,007b5cbc9ca9d293dcfe3f96b48bec6d03d87537,model-00011-of-00046.safetensors,safetensors,"Adding `safetensors` variant of this model (#13)


- Adding `safetensors` variant of this model (a7da0652a69c0d33d6bd860fa98508c066e651f4)


Co-authored-by: Olivier Dehaene <olivierdehaene@users.noreply.huggingface.co>",Stella Biderman,2023-02-07 01:46:15,True,+,137
EleutherAI/gpt-neox-20b,007b5cbc9ca9d293dcfe3f96b48bec6d03d87537,model-00012-of-00046.safetensors,safetensors,"Adding `safetensors` variant of this model (#13)


- Adding `safetensors` variant of this model (a7da0652a69c0d33d6bd860fa98508c066e651f4)


Co-authored-by: Olivier Dehaene <olivierdehaene@users.noreply.huggingface.co>",Stella Biderman,2023-02-07 01:46:15,True,+,137
