repo_url,commit_hash,model_file_path,serialization_format,message,author,date,is_in_commit,elapsed_days,change_status
bigscience/bloomz-7b1,fa72440b228d7f42a42ec3681cf09735ad14822f,bigscience/bloomz-7b1/model.safetensors,safetensors,"Adding `safetensors` variant of this model (#18)


- Adding `safetensors` variant of this model (a53257f9a51b03ede061f99d35aa735674ba5ce3)


Co-authored-by: Safetensors convertbot <SFconvertbot@users.noreply.huggingface.co>",Christopher Akiki,2024-02-22 04:05:04,True,518,+
shibing624/bart4csc-base-chinese,16eada8aab0170c1126a22199ddd67b090c8766c,shibing624/bart4csc-base-chinese/model.safetensors,safetensors,"Adding `safetensors` variant of this model (#1)


- Adding `safetensors` variant of this model (5e1447245a35c38fa926f723b06889b8e6b4f607)


Co-authored-by: Safetensors convertbot <SFconvertbot@users.noreply.huggingface.co>",xuming,2023-03-18 21:41:59,True,177,+
bigscience/bloomz-7b1-mt,fba4ea6dc5719f12df4f36b4236aa042f6998f24,bigscience/bloomz-7b1-mt/model.safetensors,safetensors,"Adding `safetensors` variant of this model (#8)


- Adding `safetensors` variant of this model (7c61c47a201b2cae6b1af821e74878ffd360707c)


Co-authored-by: Safetensors convertbot <SFconvertbot@users.noreply.huggingface.co>",Christopher Akiki,2024-01-10 12:58:05,True,475,+
radm/rugpt3medium-tathagata,15140daa8d7cf3c2896be5d34c583678c59890df,radm/rugpt3medium-tathagata/model.safetensors,safetensors,"Adding `safetensors` variant of this model (#2)


- Adding `safetensors` variant of this model (199b21f973b01ebf0af1f2d62b1f807ed113865a)


Co-authored-by: Safetensors convertbot <SFconvertbot@users.noreply.huggingface.co>",r4dm,2024-10-28 01:32:56,True,767,+
lschlessinger/bert-finetuned-math-prob-classification,33cc54c1fc2658ced67fe5098904ea78ca14be02,lschlessinger/bert-finetuned-math-prob-classification/model.safetensors,safetensors,"Adding `safetensors` variant of this model (#1)


- Adding `safetensors` variant of this model (f123427e01df66f9042fba22d3ef1da43c24f4b8)


Co-authored-by: Safetensors convertbot <SFconvertbot@users.noreply.huggingface.co>",Louis Schlessinger,2023-06-05 17:27:06,True,256,+
nielsr/lilt-roberta-en-base-finetuned-funsd,96b61f650b3706d99c8e7a68793f2afe78d4178b,nielsr/lilt-roberta-en-base-finetuned-funsd/model.safetensors,safetensors,"Adding `safetensors` variant of this model (#3)


- Adding `safetensors` variant of this model (edd388f2c21dd21644c23f8826166c622a1467f9)


Co-authored-by: Safetensors convertbot <SFconvertbot@users.noreply.huggingface.co>",Niels Rogge,2024-12-09 04:17:44,True,809,+
mirfan899/usum,d0db46b64cd6fb4d79fab8bdf1eb2e64b5ab0131,mirfan899/usum/model.safetensors,safetensors,"Adding `safetensors` variant of this model (#1)


- Adding `safetensors` variant of this model (bf6df4142d222956bd0e4fd2035b18a8ee723649)


Co-authored-by: Safetensors convertbot <SFconvertbot@users.noreply.huggingface.co>",Muhammad Irfan,2024-01-03 06:23:36,True,468,+
harmonai/jmann-large-580k,a12d17b44e5855b62a13f8e4d5298d4f65106cc0,unet/diffusion_pytorch_model.safetensors,safetensors,"Adding `safetensors` variant of this model (#1)


- Adding `safetensors` variant of this model (3a8045145a1d90204e9c2e915cfcd8158eebddc2)


Co-authored-by: Safetensors convertbot <SFconvertbot@users.noreply.huggingface.co>",Zach Evans,2024-06-16 13:30:41,True,633,+
tsmatz/xlm-roberta-ner-japanese,39c525b11d35426fea754e906c4847208582647f,model.safetensors,safetensors,"Adding `safetensors` variant of this model (#3)


- Adding `safetensors` variant of this model (8edb007bcea0e095b63ce95a302870433eb4abcd)


Co-authored-by: Safetensors convertbot <SFconvertbot@users.noreply.huggingface.co>",Tsuyoshi Matsuzaki,2024-07-11 20:01:56,True,658,+
rufimelo/bert-large-portuguese-cased-sts,e5c615d0dd46078764b7f58835b95af95f153e95,rufimelo/bert-large-portuguese-cased-sts/model.safetensors,safetensors,"Adding `safetensors` variant of this model (#1)


- Adding `safetensors` variant of this model (30a22f057cf17bdd0e100611a1a9e90fb2c5921a)


Co-authored-by: Safetensors convertbot <SFconvertbot@users.noreply.huggingface.co>",Rui Melo,2024-12-15 18:07:55,True,815,+
bigscience/mt0-xl,7332741e6029c63e0226c0b5e81820941414c7fd,model-00001-of-00002.safetensors,safetensors,"Adding `safetensors` variant of this model (#2)


- Adding `safetensors` variant of this model (53f205273d6c1083039fc0b031b0fd7f2cbecbd8)


Co-authored-by: Safetensors convertbot <SFconvertbot@users.noreply.huggingface.co>",Christopher Akiki,2024-03-17 11:07:06,True,542,+
bigscience/mt0-xl,7332741e6029c63e0226c0b5e81820941414c7fd,model-00002-of-00002.safetensors,safetensors,"Adding `safetensors` variant of this model (#2)


- Adding `safetensors` variant of this model (53f205273d6c1083039fc0b031b0fd7f2cbecbd8)


Co-authored-by: Safetensors convertbot <SFconvertbot@users.noreply.huggingface.co>",Christopher Akiki,2024-03-17 11:07:06,True,542,+
bigscience/mt0-xxl-mt,db491aacb6a2601e3e8aac52214dbf6af7cd3f49,bigscience/mt0-xxl-mt/model-00001-of-00006.safetensors,safetensors,"Adding `safetensors` variant of this model (#5)


- Adding `safetensors` variant of this model (879b255cf6d35e5f0ff616b68aed6cec036f3344)


Co-authored-by: Safetensors convertbot <SFconvertbot@users.noreply.huggingface.co>",Christopher Akiki,2024-06-07 05:57:51,True,624,+
bigscience/mt0-xxl-mt,db491aacb6a2601e3e8aac52214dbf6af7cd3f49,bigscience/mt0-xxl-mt/model-00002-of-00006.safetensors,safetensors,"Adding `safetensors` variant of this model (#5)


- Adding `safetensors` variant of this model (879b255cf6d35e5f0ff616b68aed6cec036f3344)


Co-authored-by: Safetensors convertbot <SFconvertbot@users.noreply.huggingface.co>",Christopher Akiki,2024-06-07 05:57:51,True,624,+
bigscience/mt0-xxl-mt,db491aacb6a2601e3e8aac52214dbf6af7cd3f49,bigscience/mt0-xxl-mt/model-00003-of-00006.safetensors,safetensors,"Adding `safetensors` variant of this model (#5)


- Adding `safetensors` variant of this model (879b255cf6d35e5f0ff616b68aed6cec036f3344)


Co-authored-by: Safetensors convertbot <SFconvertbot@users.noreply.huggingface.co>",Christopher Akiki,2024-06-07 05:57:51,True,624,+
bigscience/mt0-xxl-mt,db491aacb6a2601e3e8aac52214dbf6af7cd3f49,bigscience/mt0-xxl-mt/model-00004-of-00006.safetensors,safetensors,"Adding `safetensors` variant of this model (#5)


- Adding `safetensors` variant of this model (879b255cf6d35e5f0ff616b68aed6cec036f3344)


Co-authored-by: Safetensors convertbot <SFconvertbot@users.noreply.huggingface.co>",Christopher Akiki,2024-06-07 05:57:51,True,624,+
bigscience/mt0-xxl-mt,db491aacb6a2601e3e8aac52214dbf6af7cd3f49,bigscience/mt0-xxl-mt/model-00005-of-00006.safetensors,safetensors,"Adding `safetensors` variant of this model (#5)


- Adding `safetensors` variant of this model (879b255cf6d35e5f0ff616b68aed6cec036f3344)


Co-authored-by: Safetensors convertbot <SFconvertbot@users.noreply.huggingface.co>",Christopher Akiki,2024-06-07 05:57:51,True,624,+
bigscience/mt0-xxl-mt,db491aacb6a2601e3e8aac52214dbf6af7cd3f49,bigscience/mt0-xxl-mt/model-00006-of-00006.safetensors,safetensors,"Adding `safetensors` variant of this model (#5)


- Adding `safetensors` variant of this model (879b255cf6d35e5f0ff616b68aed6cec036f3344)


Co-authored-by: Safetensors convertbot <SFconvertbot@users.noreply.huggingface.co>",Christopher Akiki,2024-06-07 05:57:51,True,624,+
NlpHUST/ner-vietnamese-electra-base,1941399235d54aa368c4a4503bcfddfb46654de5,model.safetensors,safetensors,"Adding `safetensors` variant of this model (#1)


- Adding `safetensors` variant of this model (cdfa86d22ca9f836514acabcb707c74acfeff62f)


Co-authored-by: Safetensors convertbot <SFconvertbot@users.noreply.huggingface.co>",Nguyen Van Nha,2023-04-09 22:24:28,True,199,+
elenanereiss/bert-german-ler,9ebf8297f12785be313f1a1cb0538aa8791a4969,elenanereiss/bert-german-ler/model.safetensors,safetensors,"Adding `safetensors` variant of this model (#3)


- Adding `safetensors` variant of this model (31d26f370a45735203c44990661d1378e7055455)


Co-authored-by: Safetensors convertbot <SFconvertbot@users.noreply.huggingface.co>",Elena Leitner,2024-11-02 12:44:43,True,772,+
CIDAS/clipseg-rd64-refined,8bef68afb9ebcbb7b153eee19f49aedb58e3f083,model.safetensors,safetensors,"Adding `safetensors` variant of this model (#7)


- Adding `safetensors` variant of this model (ef5cef920e6cf256097346da2fa6e20c4e96883c)


Co-authored-by: Safetensors convertbot <SFconvertbot@users.noreply.huggingface.co>",Niels Rogge,2024-12-11 02:02:12,True,811,+
microsoft/swin-base-simmim-window6-192,d5c0bac35edfdcf83e0c9ffe063435970651990a,microsoft/swin-base-simmim-window6-192/model.safetensors,safetensors,"Adding `safetensors` variant of this model (#1)


- Adding `safetensors` variant of this model (6c7c8dea55b6bc1fb8e20c21dae660cc2a45cada)


Co-authored-by: Safetensors convertbot <SFconvertbot@users.noreply.huggingface.co>",Niels Rogge,2024-04-04 02:38:42,True,560,+
google/switch-large-128,f5573ca2d15edb5ebc609438693db5bbf2e24f58,google/switch-large-128/model-00001-of-00006.safetensors,safetensors,"Adding `safetensors` variant of this model (#9)


- Adding `safetensors` variant of this model (04c24323157436a9539a6d90c26aa5da63160c45)


Co-authored-by: Safetensors convertbot <SFconvertbot@users.noreply.huggingface.co>",Younes Belkada,2024-04-10 05:50:20,True,566,+
google/switch-large-128,f5573ca2d15edb5ebc609438693db5bbf2e24f58,google/switch-large-128/model-00002-of-00006.safetensors,safetensors,"Adding `safetensors` variant of this model (#9)


- Adding `safetensors` variant of this model (04c24323157436a9539a6d90c26aa5da63160c45)


Co-authored-by: Safetensors convertbot <SFconvertbot@users.noreply.huggingface.co>",Younes Belkada,2024-04-10 05:50:20,True,566,+
google/switch-large-128,f5573ca2d15edb5ebc609438693db5bbf2e24f58,google/switch-large-128/model-00003-of-00006.safetensors,safetensors,"Adding `safetensors` variant of this model (#9)


- Adding `safetensors` variant of this model (04c24323157436a9539a6d90c26aa5da63160c45)


Co-authored-by: Safetensors convertbot <SFconvertbot@users.noreply.huggingface.co>",Younes Belkada,2024-04-10 05:50:20,True,566,+
google/switch-large-128,f5573ca2d15edb5ebc609438693db5bbf2e24f58,google/switch-large-128/model-00004-of-00006.safetensors,safetensors,"Adding `safetensors` variant of this model (#9)


- Adding `safetensors` variant of this model (04c24323157436a9539a6d90c26aa5da63160c45)


Co-authored-by: Safetensors convertbot <SFconvertbot@users.noreply.huggingface.co>",Younes Belkada,2024-04-10 05:50:20,True,566,+
google/switch-large-128,f5573ca2d15edb5ebc609438693db5bbf2e24f58,google/switch-large-128/model-00005-of-00006.safetensors,safetensors,"Adding `safetensors` variant of this model (#9)


- Adding `safetensors` variant of this model (04c24323157436a9539a6d90c26aa5da63160c45)


Co-authored-by: Safetensors convertbot <SFconvertbot@users.noreply.huggingface.co>",Younes Belkada,2024-04-10 05:50:20,True,566,+
google/switch-large-128,f5573ca2d15edb5ebc609438693db5bbf2e24f58,google/switch-large-128/model-00006-of-00006.safetensors,safetensors,"Adding `safetensors` variant of this model (#9)


- Adding `safetensors` variant of this model (04c24323157436a9539a6d90c26aa5da63160c45)


Co-authored-by: Safetensors convertbot <SFconvertbot@users.noreply.huggingface.co>",Younes Belkada,2024-04-10 05:50:20,True,566,+
alabnii/jmedroberta-base-manbyo-wordpiece,cfb43d9480cd5ba5aff33d923ef726cab30dfe20,alabnii/jmedroberta-base-manbyo-wordpiece/model.safetensors,safetensors,"Adding `safetensors` variant of this model (#1)


- Adding `safetensors` variant of this model (e5a8a93427f26e93980be76871ae9749c47b9096)


Co-authored-by: Safetensors convertbot <SFconvertbot@users.noreply.huggingface.co>",Kaito Sugimoto,2024-10-27 10:01:10,True,766,+
malteos/bloom-6b4-clp-german,93d62eec1e42bbe52d625e203f9599c01a8c992e,malteos/bloom-6b4-clp-german/model_00001-of-00032.safetensors,safetensors,"Adding `safetensors` variant of this model (#5)


- Adding `safetensors` variant of this model (b8b192164199a86b24841faeb2ccb5cdb2ad9ed8)


Co-authored-by: Safetensors convertbot <SFconvertbot@users.noreply.huggingface.co>",malteos,2024-04-06 07:11:50,True,562,+
malteos/bloom-6b4-clp-german,93d62eec1e42bbe52d625e203f9599c01a8c992e,malteos/bloom-6b4-clp-german/model_00002-of-00032.safetensors,safetensors,"Adding `safetensors` variant of this model (#5)


- Adding `safetensors` variant of this model (b8b192164199a86b24841faeb2ccb5cdb2ad9ed8)


Co-authored-by: Safetensors convertbot <SFconvertbot@users.noreply.huggingface.co>",malteos,2024-04-06 07:11:50,True,562,+
malteos/bloom-6b4-clp-german,93d62eec1e42bbe52d625e203f9599c01a8c992e,malteos/bloom-6b4-clp-german/model_00003-of-00032.safetensors,safetensors,"Adding `safetensors` variant of this model (#5)


- Adding `safetensors` variant of this model (b8b192164199a86b24841faeb2ccb5cdb2ad9ed8)


Co-authored-by: Safetensors convertbot <SFconvertbot@users.noreply.huggingface.co>",malteos,2024-04-06 07:11:50,True,562,+
malteos/bloom-6b4-clp-german,93d62eec1e42bbe52d625e203f9599c01a8c992e,malteos/bloom-6b4-clp-german/model_00004-of-00032.safetensors,safetensors,"Adding `safetensors` variant of this model (#5)


- Adding `safetensors` variant of this model (b8b192164199a86b24841faeb2ccb5cdb2ad9ed8)


Co-authored-by: Safetensors convertbot <SFconvertbot@users.noreply.huggingface.co>",malteos,2024-04-06 07:11:50,True,562,+
malteos/bloom-6b4-clp-german,93d62eec1e42bbe52d625e203f9599c01a8c992e,malteos/bloom-6b4-clp-german/model_00005-of-00032.safetensors,safetensors,"Adding `safetensors` variant of this model (#5)


- Adding `safetensors` variant of this model (b8b192164199a86b24841faeb2ccb5cdb2ad9ed8)


Co-authored-by: Safetensors convertbot <SFconvertbot@users.noreply.huggingface.co>",malteos,2024-04-06 07:11:50,True,562,+
malteos/bloom-6b4-clp-german,93d62eec1e42bbe52d625e203f9599c01a8c992e,malteos/bloom-6b4-clp-german/model_00006-of-00032.safetensors,safetensors,"Adding `safetensors` variant of this model (#5)


- Adding `safetensors` variant of this model (b8b192164199a86b24841faeb2ccb5cdb2ad9ed8)


Co-authored-by: Safetensors convertbot <SFconvertbot@users.noreply.huggingface.co>",malteos,2024-04-06 07:11:50,True,562,+
malteos/bloom-6b4-clp-german,93d62eec1e42bbe52d625e203f9599c01a8c992e,malteos/bloom-6b4-clp-german/model_00007-of-00032.safetensors,safetensors,"Adding `safetensors` variant of this model (#5)


- Adding `safetensors` variant of this model (b8b192164199a86b24841faeb2ccb5cdb2ad9ed8)


Co-authored-by: Safetensors convertbot <SFconvertbot@users.noreply.huggingface.co>",malteos,2024-04-06 07:11:50,True,562,+
malteos/bloom-6b4-clp-german,93d62eec1e42bbe52d625e203f9599c01a8c992e,malteos/bloom-6b4-clp-german/model_00008-of-00032.safetensors,safetensors,"Adding `safetensors` variant of this model (#5)


- Adding `safetensors` variant of this model (b8b192164199a86b24841faeb2ccb5cdb2ad9ed8)


Co-authored-by: Safetensors convertbot <SFconvertbot@users.noreply.huggingface.co>",malteos,2024-04-06 07:11:50,True,562,+
malteos/bloom-6b4-clp-german,93d62eec1e42bbe52d625e203f9599c01a8c992e,malteos/bloom-6b4-clp-german/model_00009-of-00032.safetensors,safetensors,"Adding `safetensors` variant of this model (#5)


- Adding `safetensors` variant of this model (b8b192164199a86b24841faeb2ccb5cdb2ad9ed8)


Co-authored-by: Safetensors convertbot <SFconvertbot@users.noreply.huggingface.co>",malteos,2024-04-06 07:11:50,True,562,+
malteos/bloom-6b4-clp-german,93d62eec1e42bbe52d625e203f9599c01a8c992e,malteos/bloom-6b4-clp-german/model_00010-of-00032.safetensors,safetensors,"Adding `safetensors` variant of this model (#5)


- Adding `safetensors` variant of this model (b8b192164199a86b24841faeb2ccb5cdb2ad9ed8)


Co-authored-by: Safetensors convertbot <SFconvertbot@users.noreply.huggingface.co>",malteos,2024-04-06 07:11:50,True,562,+
malteos/bloom-6b4-clp-german,93d62eec1e42bbe52d625e203f9599c01a8c992e,malteos/bloom-6b4-clp-german/model_00011-of-00032.safetensors,safetensors,"Adding `safetensors` variant of this model (#5)


- Adding `safetensors` variant of this model (b8b192164199a86b24841faeb2ccb5cdb2ad9ed8)


Co-authored-by: Safetensors convertbot <SFconvertbot@users.noreply.huggingface.co>",malteos,2024-04-06 07:11:50,True,562,+
malteos/bloom-6b4-clp-german,93d62eec1e42bbe52d625e203f9599c01a8c992e,malteos/bloom-6b4-clp-german/model_00012-of-00032.safetensors,safetensors,"Adding `safetensors` variant of this model (#5)


- Adding `safetensors` variant of this model (b8b192164199a86b24841faeb2ccb5cdb2ad9ed8)


Co-authored-by: Safetensors convertbot <SFconvertbot@users.noreply.huggingface.co>",malteos,2024-04-06 07:11:50,True,562,+
malteos/bloom-6b4-clp-german,93d62eec1e42bbe52d625e203f9599c01a8c992e,malteos/bloom-6b4-clp-german/model_00013-of-00032.safetensors,safetensors,"Adding `safetensors` variant of this model (#5)


- Adding `safetensors` variant of this model (b8b192164199a86b24841faeb2ccb5cdb2ad9ed8)


Co-authored-by: Safetensors convertbot <SFconvertbot@users.noreply.huggingface.co>",malteos,2024-04-06 07:11:50,True,562,+
malteos/bloom-6b4-clp-german,93d62eec1e42bbe52d625e203f9599c01a8c992e,malteos/bloom-6b4-clp-german/model_00014-of-00032.safetensors,safetensors,"Adding `safetensors` variant of this model (#5)


- Adding `safetensors` variant of this model (b8b192164199a86b24841faeb2ccb5cdb2ad9ed8)


Co-authored-by: Safetensors convertbot <SFconvertbot@users.noreply.huggingface.co>",malteos,2024-04-06 07:11:50,True,562,+
malteos/bloom-6b4-clp-german,93d62eec1e42bbe52d625e203f9599c01a8c992e,malteos/bloom-6b4-clp-german/model_00015-of-00032.safetensors,safetensors,"Adding `safetensors` variant of this model (#5)


- Adding `safetensors` variant of this model (b8b192164199a86b24841faeb2ccb5cdb2ad9ed8)


Co-authored-by: Safetensors convertbot <SFconvertbot@users.noreply.huggingface.co>",malteos,2024-04-06 07:11:50,True,562,+
malteos/bloom-6b4-clp-german,93d62eec1e42bbe52d625e203f9599c01a8c992e,malteos/bloom-6b4-clp-german/model_00016-of-00032.safetensors,safetensors,"Adding `safetensors` variant of this model (#5)


- Adding `safetensors` variant of this model (b8b192164199a86b24841faeb2ccb5cdb2ad9ed8)


Co-authored-by: Safetensors convertbot <SFconvertbot@users.noreply.huggingface.co>",malteos,2024-04-06 07:11:50,True,562,+
malteos/bloom-6b4-clp-german,93d62eec1e42bbe52d625e203f9599c01a8c992e,malteos/bloom-6b4-clp-german/model_00017-of-00032.safetensors,safetensors,"Adding `safetensors` variant of this model (#5)


- Adding `safetensors` variant of this model (b8b192164199a86b24841faeb2ccb5cdb2ad9ed8)


Co-authored-by: Safetensors convertbot <SFconvertbot@users.noreply.huggingface.co>",malteos,2024-04-06 07:11:50,True,562,+
malteos/bloom-6b4-clp-german,93d62eec1e42bbe52d625e203f9599c01a8c992e,malteos/bloom-6b4-clp-german/model_00018-of-00032.safetensors,safetensors,"Adding `safetensors` variant of this model (#5)


- Adding `safetensors` variant of this model (b8b192164199a86b24841faeb2ccb5cdb2ad9ed8)


Co-authored-by: Safetensors convertbot <SFconvertbot@users.noreply.huggingface.co>",malteos,2024-04-06 07:11:50,True,562,+
malteos/bloom-6b4-clp-german,93d62eec1e42bbe52d625e203f9599c01a8c992e,malteos/bloom-6b4-clp-german/model_00019-of-00032.safetensors,safetensors,"Adding `safetensors` variant of this model (#5)


- Adding `safetensors` variant of this model (b8b192164199a86b24841faeb2ccb5cdb2ad9ed8)


Co-authored-by: Safetensors convertbot <SFconvertbot@users.noreply.huggingface.co>",malteos,2024-04-06 07:11:50,True,562,+
malteos/bloom-6b4-clp-german,93d62eec1e42bbe52d625e203f9599c01a8c992e,malteos/bloom-6b4-clp-german/model_00020-of-00032.safetensors,safetensors,"Adding `safetensors` variant of this model (#5)


- Adding `safetensors` variant of this model (b8b192164199a86b24841faeb2ccb5cdb2ad9ed8)


Co-authored-by: Safetensors convertbot <SFconvertbot@users.noreply.huggingface.co>",malteos,2024-04-06 07:11:50,True,562,+
malteos/bloom-6b4-clp-german,93d62eec1e42bbe52d625e203f9599c01a8c992e,malteos/bloom-6b4-clp-german/model_00021-of-00032.safetensors,safetensors,"Adding `safetensors` variant of this model (#5)


- Adding `safetensors` variant of this model (b8b192164199a86b24841faeb2ccb5cdb2ad9ed8)


Co-authored-by: Safetensors convertbot <SFconvertbot@users.noreply.huggingface.co>",malteos,2024-04-06 07:11:50,True,562,+
malteos/bloom-6b4-clp-german,93d62eec1e42bbe52d625e203f9599c01a8c992e,malteos/bloom-6b4-clp-german/model_00022-of-00032.safetensors,safetensors,"Adding `safetensors` variant of this model (#5)


- Adding `safetensors` variant of this model (b8b192164199a86b24841faeb2ccb5cdb2ad9ed8)


Co-authored-by: Safetensors convertbot <SFconvertbot@users.noreply.huggingface.co>",malteos,2024-04-06 07:11:50,True,562,+
malteos/bloom-6b4-clp-german,93d62eec1e42bbe52d625e203f9599c01a8c992e,malteos/bloom-6b4-clp-german/model_00023-of-00032.safetensors,safetensors,"Adding `safetensors` variant of this model (#5)


- Adding `safetensors` variant of this model (b8b192164199a86b24841faeb2ccb5cdb2ad9ed8)


Co-authored-by: Safetensors convertbot <SFconvertbot@users.noreply.huggingface.co>",malteos,2024-04-06 07:11:50,True,562,+
malteos/bloom-6b4-clp-german,93d62eec1e42bbe52d625e203f9599c01a8c992e,malteos/bloom-6b4-clp-german/model_00024-of-00032.safetensors,safetensors,"Adding `safetensors` variant of this model (#5)


- Adding `safetensors` variant of this model (b8b192164199a86b24841faeb2ccb5cdb2ad9ed8)


Co-authored-by: Safetensors convertbot <SFconvertbot@users.noreply.huggingface.co>",malteos,2024-04-06 07:11:50,True,562,+
malteos/bloom-6b4-clp-german,93d62eec1e42bbe52d625e203f9599c01a8c992e,malteos/bloom-6b4-clp-german/model_00025-of-00032.safetensors,safetensors,"Adding `safetensors` variant of this model (#5)


- Adding `safetensors` variant of this model (b8b192164199a86b24841faeb2ccb5cdb2ad9ed8)


Co-authored-by: Safetensors convertbot <SFconvertbot@users.noreply.huggingface.co>",malteos,2024-04-06 07:11:50,True,562,+
malteos/bloom-6b4-clp-german,93d62eec1e42bbe52d625e203f9599c01a8c992e,malteos/bloom-6b4-clp-german/model_00026-of-00032.safetensors,safetensors,"Adding `safetensors` variant of this model (#5)


- Adding `safetensors` variant of this model (b8b192164199a86b24841faeb2ccb5cdb2ad9ed8)


Co-authored-by: Safetensors convertbot <SFconvertbot@users.noreply.huggingface.co>",malteos,2024-04-06 07:11:50,True,562,+
malteos/bloom-6b4-clp-german,93d62eec1e42bbe52d625e203f9599c01a8c992e,malteos/bloom-6b4-clp-german/model_00027-of-00032.safetensors,safetensors,"Adding `safetensors` variant of this model (#5)


- Adding `safetensors` variant of this model (b8b192164199a86b24841faeb2ccb5cdb2ad9ed8)


Co-authored-by: Safetensors convertbot <SFconvertbot@users.noreply.huggingface.co>",malteos,2024-04-06 07:11:50,True,562,+
malteos/bloom-6b4-clp-german,93d62eec1e42bbe52d625e203f9599c01a8c992e,malteos/bloom-6b4-clp-german/model_00028-of-00032.safetensors,safetensors,"Adding `safetensors` variant of this model (#5)


- Adding `safetensors` variant of this model (b8b192164199a86b24841faeb2ccb5cdb2ad9ed8)


Co-authored-by: Safetensors convertbot <SFconvertbot@users.noreply.huggingface.co>",malteos,2024-04-06 07:11:50,True,562,+
