repo_url,commit_hash,model_file_path,serialization_format,message,author,date
recogna-nlp/ptt5-base-summ-xlsum,f12939f002bfa15523990152fbb590ca5633ef69,recogna-nlp/ptt5-base-summ-xlsum\model.safetensors,safetensors,"Adding `safetensors` variant of this model (#1)


- Adding `safetensors` variant of this model (306063111be59ef1c3b6b3357f05c4d301ac89ff)


Co-authored-by: Safetensors convertbot <SFconvertbot@users.noreply.huggingface.co>",Pedro Henrique Paiola,2023-03-21 23:41:42
recogna-nlp/ptt5-base-summ-xlsum,538a8ba7acf9bc7a8ac12acac44e04f88e5e0e0b,recogna-nlp/ptt5-base-summ-xlsum\spiece.model,ONNX,Upload spiece.model,Pedro Henrique Paiola,2022-08-30 15:25:01
recogna-nlp/ptt5-base-summ-xlsum,7b98f4a40f9183f7e685086e3e96609a7d5506c5,pytorch_model.bin,torch.save,Upload pytorch_model.bin,Pedro Henrique Paiola,2022-08-29 16:25:47
recogna-nlp/ptt5-base-summ-wikilingua,c357f46f7de558dfe207037f71f8b6cee1359e38,recogna-nlp/ptt5-base-summ-wikilingua\model.safetensors,safetensors,"Adding `safetensors` variant of this model (#1)


- Adding `safetensors` variant of this model (2b011166d2dba3e724c4ba386def192c362bdb80)


Co-authored-by: Safetensors convertbot <SFconvertbot@users.noreply.huggingface.co>",Pedro Henrique Paiola,2023-05-20 18:27:11
recogna-nlp/ptt5-base-summ-wikilingua,944c3bb1bd4c1f0c9a8eed079dc8113d3b1d882f,recogna-nlp/ptt5-base-summ-wikilingua\spiece.model,ONNX,Upload spiece.model,Pedro Henrique Paiola,2022-08-30 16:15:38
recogna-nlp/ptt5-base-summ-wikilingua,aa5cb7d1aebbf552a149ab455bd9ed2f785c6512,pytorch_model.bin,torch.save,Upload pytorch_model.bin,Pedro Henrique Paiola,2022-08-29 15:12:56
teticio/audio-diffusion-breaks-256,369dd154af13112641baf074273d1b2ebf30b9fe,unet/diffusion_pytorch_model.bin,torch.save,Epoch 99,Robert Dargavel Smith,2022-09-03 08:50:09
teticio/audio-diffusion-breaks-256,3c6fcf0f4810b33d051dd6daead47f6651bc1f36,unet/diffusion_pytorch_model.bin,torch.save,Epoch 90,Robert Dargavel Smith,2022-09-02 20:28:17
teticio/audio-diffusion-breaks-256,6242f4c511a325687cf3642e5a102262100f9311,unet/diffusion_pytorch_model.bin,torch.save,Epoch 80,Robert Dargavel Smith,2022-09-02 06:43:49
teticio/audio-diffusion-breaks-256,bd900b436798887f95dd40ab190a544d17bca6ad,unet/diffusion_pytorch_model.bin,torch.save,Epoch 70,Robert Dargavel Smith,2022-09-01 17:02:15
teticio/audio-diffusion-breaks-256,cb0ffab9d980f52b86471b86621822b3bb40b542,unet/diffusion_pytorch_model.bin,torch.save,Epoch 60,Robert Dargavel Smith,2022-09-01 03:18:49
teticio/audio-diffusion-breaks-256,b16818ca906a2679690bfe53466971ff45bb8b94,unet/diffusion_pytorch_model.bin,torch.save,Epoch 50,Robert Dargavel Smith,2022-08-31 13:35:07
teticio/audio-diffusion-breaks-256,05c015fbc17acac168638874607e8c9fdf9a03e4,unet/diffusion_pytorch_model.bin,torch.save,Epoch 40,Robert Dargavel Smith,2022-08-30 23:49:42
teticio/audio-diffusion-breaks-256,60a97906ce63420392096b528aa32c6266c67940,unet/diffusion_pytorch_model.bin,torch.save,Epoch 30,Robert Dargavel Smith,2022-08-30 10:04:23
teticio/audio-diffusion-breaks-256,aec29a78bb38428dd9f1550d6ca12a3a9a69f9a9,unet/diffusion_pytorch_model.bin,torch.save,Epoch 20,Robert Dargavel Smith,2022-08-29 20:19:40
teticio/audio-diffusion-breaks-256,42acc8f92397292c7f8f9faba535b4bbfcad418e,unet/diffusion_pytorch_model.bin,torch.save,Epoch 10,Robert Dargavel Smith,2022-08-29 06:35:06
teticio/audio-diffusion-breaks-256,4e4817663d790692e058f470f2cbd1e5b71957d1,unet/diffusion_pytorch_model.bin,torch.save,Epoch 0,Robert Dargavel Smith,2022-08-28 16:51:03
GadidGC/bert-base-spanish-wwm-uncased-finetuned-imdb-spanish,bfaaa1d6c50220e104a9d727f637876bbdef78e5,pytorch_model.bin,torch.save,End of training,GONZA CONDORI GABRIEL DAVID,2022-08-27 09:48:57
GadidGC/bert-base-spanish-wwm-uncased-finetuned-imdb-spanish,bfaaa1d6c50220e104a9d727f637876bbdef78e5,training_args.bin,torch.save,End of training,GONZA CONDORI GABRIEL DAVID,2022-08-27 09:48:57
GadidGC/bert-base-spanish-wwm-uncased-finetuned-imdb-spanish,42be321fc4edfe3d71e2b77050abf83fc1d9a5e1,pytorch_model.bin,torch.save,End of training,GONZA CONDORI GABRIEL DAVID,2022-08-27 08:43:42
GadidGC/bert-base-spanish-wwm-uncased-finetuned-imdb-spanish,42be321fc4edfe3d71e2b77050abf83fc1d9a5e1,training_args.bin,torch.save,End of training,GONZA CONDORI GABRIEL DAVID,2022-08-27 08:43:42
GadidGC/bert-base-spanish-wwm-uncased-finetuned-imdb-spanish,b74a0a1975af2765daa520a8ea107891ac169d85,pytorch_model.bin,torch.save,End of training,GONZA CONDORI GABRIEL DAVID,2022-08-27 01:17:06
GadidGC/bert-base-spanish-wwm-uncased-finetuned-imdb-spanish,b74a0a1975af2765daa520a8ea107891ac169d85,training_args.bin,torch.save,End of training,GONZA CONDORI GABRIEL DAVID,2022-08-27 01:17:06
BasStein/doe2vec-d2-m8-ls24-VAE-kl0.001,337671153f49b43d9a0d5cf77e267b9cb3e370a8,BasStein/doe2vec-d2-m8-ls24-VAE-kl0.001\saved_model.pb,ONNX,Add model,Bas van Stein,2022-09-02 06:37:39
BasStein/doe2vec-d2-m8-ls24-VAE-kl0.001,ca0d37ee15cc459e6e8484d176dff44efe862dfb,BasStein/doe2vec-d2-m8-ls24-VAE-kl0.001\saved_model.pb,ONNX,Add model,Bas van Stein,2022-08-29 08:09:19
BasStein/doe2vec-d2-m8-ls24-VAE-kl0.001,85a41f92950856adbaffe804fd609a6623411d97,BasStein/doe2vec-d2-m8-ls24-VAE-kl0.001\saved_model.pb,ONNX,Add model,Bas van Stein,2022-08-26 11:02:51
BasStein/doe2vec-d2-m8-ls24-VAE-kl0.001,b8a6e3197b71e637dd429417155e05c7a8f5e50d,BasStein/doe2vec-d2-m8-ls24-VAE-kl0.001\saved_model.pb,ONNX,Add model,Bas van Stein,2022-08-26 10:58:58
BasStein/doe2vec-d2-m8-ls24-VAE-kl0.001,2ec1956e0ce94b547bdd38e4b27a725534babfd4,keras_metadata.pb,ONNX,Add model,Bas van Stein,2022-08-26 10:56:44
BasStein/doe2vec-d2-m8-ls24-VAE-kl0.001,2ec1956e0ce94b547bdd38e4b27a725534babfd4,saved_model.pb,ONNX,Add model,Bas van Stein,2022-08-26 10:56:44
bigscience/sgpt-bloom-7b1-msmarco,dc579f3d2d5a0795eba2049e16c3e36c74007ad3,bigscience/sgpt-bloom-7b1-msmarco\pytorch_model-00001-of-00003.safetensors,safetensors,"Adding `safetensors` variant of this model (#3)


- Adding `safetensors` variant of this model (55ee9a18f83adabaf900edae80d8797fc6c294ea)


Co-authored-by: Safetensors convertbot <SFconvertbot@users.noreply.huggingface.co>",Christopher Akiki,2024-04-03 08:03:45
bigscience/sgpt-bloom-7b1-msmarco,dc579f3d2d5a0795eba2049e16c3e36c74007ad3,bigscience/sgpt-bloom-7b1-msmarco\pytorch_model-00002-of-00003.safetensors,safetensors,"Adding `safetensors` variant of this model (#3)


- Adding `safetensors` variant of this model (55ee9a18f83adabaf900edae80d8797fc6c294ea)


Co-authored-by: Safetensors convertbot <SFconvertbot@users.noreply.huggingface.co>",Christopher Akiki,2024-04-03 08:03:45
bigscience/sgpt-bloom-7b1-msmarco,dc579f3d2d5a0795eba2049e16c3e36c74007ad3,bigscience/sgpt-bloom-7b1-msmarco\pytorch_model-00003-of-00003.safetensors,safetensors,"Adding `safetensors` variant of this model (#3)


- Adding `safetensors` variant of this model (55ee9a18f83adabaf900edae80d8797fc6c294ea)


Co-authored-by: Safetensors convertbot <SFconvertbot@users.noreply.huggingface.co>",Christopher Akiki,2024-04-03 08:03:45
bigscience/sgpt-bloom-7b1-msmarco,424904bec65c6a6a641554b4022d42c7b34518bd,pytorch_model-00001-of-00003.bin,torch.save,Add files,Muennighoff,2022-08-26 05:43:46
bigscience/sgpt-bloom-7b1-msmarco,424904bec65c6a6a641554b4022d42c7b34518bd,pytorch_model-00002-of-00003.bin,torch.save,Add files,Muennighoff,2022-08-26 05:43:46
bigscience/sgpt-bloom-7b1-msmarco,424904bec65c6a6a641554b4022d42c7b34518bd,pytorch_model-00003-of-00003.bin,torch.save,Add files,Muennighoff,2022-08-26 05:43:46
vinai/bartpho-word-base,9a433f7cbc7a1972e515bec1ca8d6a03a9634618,pytorch_model.bin,torch.save,Upload model,Dat Quoc Nguyen,2022-08-26 05:15:19
microsoft/xclip-base-patch32,a2e27a78a2b5d802e894b8a1ef14f3a8ce490963,microsoft/xclip-base-patch32\model.safetensors,safetensors,"Adding `safetensors` variant of this model (#3)


- Adding `safetensors` variant of this model (47627d79085e55e641829bd120ac64a3cc3c2238)


Co-authored-by: Safetensors convertbot <SFconvertbot@users.noreply.huggingface.co>",Niels Rogge,2024-02-03 20:26:30
microsoft/xclip-base-patch32,c032045517cf2ffd284b2f4de2d8d18ae17ae258,pytorch_model.bin,torch.save,Upload model,Niels Rogge,2022-08-25 09:07:31
nlpie/bio-mobilebert,447bc443b737122db7cd195cd72b30917bd09c67,pytorch_model.bin,torch.save,Third version of the MobileBioBERT model.,Mojtaba aka Omid Rohanian,2022-08-27 14:54:47
nlpie/bio-mobilebert,fa386abfdc9ba242ae1b4ad9bea10b8a2c5922aa,pytorch_model.bin,torch.save,Second version of the BioMobileBERT model.,Mojtaba aka Omid Rohanian,2022-08-25 12:58:38
nlpie/bio-mobilebert,b42028760f887ef8e75d81c3ed53b182e1de3e02,pytorch_model.bin,torch.save,First version of the Bio-MobileBERT model and tokenizer.,Mojtaba aka Omid Rohanian,2022-08-24 16:25:42
nlpie/bio-tinybert,f4a445a2be7126967a20ce23909f36d92af7de2d,pytorch_model.bin,torch.save,First version of the Bio-TinyBERT model and tokenizer.,Mojtaba aka Omid Rohanian,2022-08-24 16:13:04
chris-santiago/distilbert-base-uncased-distilled-clinc,00891981919692b4398c3ace2430fe4fd1159705,chris-santiago/distilbert-base-uncased-distilled-clinc\pytorch_model.bin,torch.save,training complete,Chris Santiago,2022-08-23 22:39:08
chris-santiago/distilbert-base-uncased-distilled-clinc,9d24c9f3311487b3e5294685a713f7cdb30135ea,chris-santiago/distilbert-base-uncased-distilled-clinc\pytorch_model.bin,torch.save,"Training in progress, step 3000",Chris Santiago,2022-08-23 22:38:02
chris-santiago/distilbert-base-uncased-distilled-clinc,9884a5107855ed51a64f024b30432a2b254afb6f,chris-santiago/distilbert-base-uncased-distilled-clinc\pytorch_model.bin,torch.save,"Training in progress, step 2500",Chris Santiago,2022-08-23 22:36:25
chris-santiago/distilbert-base-uncased-distilled-clinc,8d6e132352fd6009ff62e067734d5e9c73fa49cc,chris-santiago/distilbert-base-uncased-distilled-clinc\pytorch_model.bin,torch.save,"Training in progress, step 2000",Chris Santiago,2022-08-23 22:34:50
chris-santiago/distilbert-base-uncased-distilled-clinc,04bc9c2da592263bca84ffc5e9d9c346e2cab8aa,chris-santiago/distilbert-base-uncased-distilled-clinc\pytorch_model.bin,torch.save,"Training in progress, step 1500",Chris Santiago,2022-08-23 22:33:20
chris-santiago/distilbert-base-uncased-distilled-clinc,6cfeb8d157b7c3a73d7b6a0d1c56a61304b0dc51,chris-santiago/distilbert-base-uncased-distilled-clinc\pytorch_model.bin,torch.save,"Training in progress, step 1000",Chris Santiago,2022-08-23 22:31:53
chris-santiago/distilbert-base-uncased-distilled-clinc,a04693070d502dba58d53c803af5f69614b5381d,pytorch_model.bin,torch.save,"Training in progress, step 500",Chris Santiago,2022-08-23 22:30:31
chris-santiago/distilbert-base-uncased-distilled-clinc,a04693070d502dba58d53c803af5f69614b5381d,training_args.bin,torch.save,"Training in progress, step 500",Chris Santiago,2022-08-23 22:30:31
nickmuchi/detr-resnet50-license-plate-detection,c382b1363ce3acaa3ffe741625901e7f0c977996,nickmuchi/detr-resnet50-license-plate-detection\model.safetensors,safetensors,"Adding `safetensors` variant of this model (#1)


- Adding `safetensors` variant of this model (a3bde5f4e3e1d0388327e548a272cc4b56b62734)


Co-authored-by: Safetensors convertbot <SFconvertbot@users.noreply.huggingface.co>",Nicholas Muchinguri,2024-02-27 22:47:55
nickmuchi/detr-resnet50-license-plate-detection,67c56a7eb2a214325e606a2655f93d2c5946b5fd,pytorch_model.bin,torch.save,add model,Nicholas Muchinguri,2022-08-23 13:44:30
chris-santiago/distilbert-base-uncased-finetuned-clinc,e762538c3e1bf411454d5cd3f0d830540b615ebf,chris-santiago/distilbert-base-uncased-finetuned-clinc\pytorch_model.bin,torch.save,"Training in progress, step 1500",Chris Santiago,2022-08-24 16:32:36
chris-santiago/distilbert-base-uncased-finetuned-clinc,7529e826ca7c5875b03e101c1015fad67b8409f4,chris-santiago/distilbert-base-uncased-finetuned-clinc\pytorch_model.bin,torch.save,"Training in progress, step 1000",Chris Santiago,2022-08-24 16:30:05
chris-santiago/distilbert-base-uncased-finetuned-clinc,c5ceac958c69731bdfb5c9a7dbf40c1e5c97aa52,pytorch_model.bin,torch.save,"Training in progress, step 500",Chris Santiago,2022-08-24 16:27:31
chris-santiago/distilbert-base-uncased-finetuned-clinc,c5ceac958c69731bdfb5c9a7dbf40c1e5c97aa52,training_args.bin,torch.save,"Training in progress, step 500",Chris Santiago,2022-08-24 16:27:31
chris-santiago/distilbert-base-uncased-finetuned-clinc,33cac01f562b150fb27439a32b85366ef387fb20,chris-santiago/distilbert-base-uncased-finetuned-clinc\pytorch_model.bin,torch.save,"Training in progress, step 2000",Chris Santiago,2022-08-23 22:28:55
chris-santiago/distilbert-base-uncased-finetuned-clinc,a2a407058b5975972b20f21d8806b66c83b546c2,chris-santiago/distilbert-base-uncased-finetuned-clinc\pytorch_model.bin,torch.save,"Training in progress, step 1500",Chris Santiago,2022-08-23 22:22:54
chris-santiago/distilbert-base-uncased-finetuned-clinc,d17e368ca89f82fd22df813ad358c259c05e6f82,chris-santiago/distilbert-base-uncased-finetuned-clinc\pytorch_model.bin,torch.save,"Training in progress, step 1000",Chris Santiago,2022-08-23 22:17:01
chris-santiago/distilbert-base-uncased-finetuned-clinc,0d4d304bc709f7ca5b71610b826183afe33144b7,pytorch_model.bin,torch.save,"Training in progress, step 500",Chris Santiago,2022-08-23 22:11:04
chris-santiago/distilbert-base-uncased-finetuned-clinc,0d4d304bc709f7ca5b71610b826183afe33144b7,training_args.bin,torch.save,"Training in progress, step 500",Chris Santiago,2022-08-23 22:11:04
chris-santiago/distilbert-base-uncased-finetuned-clinc,dbe4563c64a7d6ba1a42ac2622f5d4c07096fbe0,chris-santiago/distilbert-base-uncased-finetuned-clinc\pytorch_model.bin,torch.save,"Training in progress, step 2500",Chris Santiago,2022-08-23 22:05:02
chris-santiago/distilbert-base-uncased-finetuned-clinc,71f2d27a7a1968979b0b6a6fe4a1107d4a411092,chris-santiago/distilbert-base-uncased-finetuned-clinc\pytorch_model.bin,torch.save,"Training in progress, step 2000",Chris Santiago,2022-08-23 21:59:08
chris-santiago/distilbert-base-uncased-finetuned-clinc,618c1b7b0840b9577604f5da5faea7ff215e7494,chris-santiago/distilbert-base-uncased-finetuned-clinc\pytorch_model.bin,torch.save,"Training in progress, step 1500",Chris Santiago,2022-08-23 21:53:16
chris-santiago/distilbert-base-uncased-finetuned-clinc,e9e19e130fb0461ce27d337d6aca98a78cc1c1ec,chris-santiago/distilbert-base-uncased-finetuned-clinc\pytorch_model.bin,torch.save,"Training in progress, step 1000",Chris Santiago,2022-08-23 21:47:15
chris-santiago/distilbert-base-uncased-finetuned-clinc,aa02c2c4cecedf717bce0d8f3057d706e4247cb1,pytorch_model.bin,torch.save,"Training in progress, step 500",Chris Santiago,2022-08-23 21:41:20
chris-santiago/distilbert-base-uncased-finetuned-clinc,aa02c2c4cecedf717bce0d8f3057d706e4247cb1,training_args.bin,torch.save,"Training in progress, step 500",Chris Santiago,2022-08-23 21:41:20
chris-santiago/distilbert-base-uncased-finetuned-clinc,77c8e5a444bc71ec712ec9c1ccb19201d51288d4,chris-santiago/distilbert-base-uncased-finetuned-clinc\pytorch_model.bin,torch.save,"Training in progress, step 2500",Chris Santiago,2022-08-23 21:34:53
chris-santiago/distilbert-base-uncased-finetuned-clinc,307b1044393c0efba44a898bf9fe48838a622488,chris-santiago/distilbert-base-uncased-finetuned-clinc\pytorch_model.bin,torch.save,"Training in progress, step 2000",Chris Santiago,2022-08-23 21:29:03
chris-santiago/distilbert-base-uncased-finetuned-clinc,d40593afc5a460f7c68d7b943e5b3ac12d47c4e7,chris-santiago/distilbert-base-uncased-finetuned-clinc\pytorch_model.bin,torch.save,"Training in progress, step 1500",Chris Santiago,2022-08-23 21:23:06
chris-santiago/distilbert-base-uncased-finetuned-clinc,062d1e98ab704b4e0b44fb31ab8a4a245cf2f6b8,chris-santiago/distilbert-base-uncased-finetuned-clinc\pytorch_model.bin,torch.save,"Training in progress, step 1000",Chris Santiago,2022-08-23 21:17:25
chris-santiago/distilbert-base-uncased-finetuned-clinc,8cc37c42396f24f23528571dad81383b1b2e14dd,pytorch_model.bin,torch.save,"Training in progress, step 500",Chris Santiago,2022-08-23 21:11:31
chris-santiago/distilbert-base-uncased-finetuned-clinc,8cc37c42396f24f23528571dad81383b1b2e14dd,training_args.bin,torch.save,"Training in progress, step 500",Chris Santiago,2022-08-23 21:11:31
chris-santiago/distilbert-base-uncased-finetuned-clinc,534f06fb3d77ebb7db236671375e3f3a51896544,chris-santiago/distilbert-base-uncased-finetuned-clinc\pytorch_model.bin,torch.save,"Training in progress, step 3000",Chris Santiago,2022-08-23 21:05:22
chris-santiago/distilbert-base-uncased-finetuned-clinc,5434e03a9050d718920f371c89634429baea1d66,chris-santiago/distilbert-base-uncased-finetuned-clinc\pytorch_model.bin,torch.save,"Training in progress, step 2500",Chris Santiago,2022-08-23 20:59:36
chris-santiago/distilbert-base-uncased-finetuned-clinc,2a594687333674ea35be73d993569c2a5fb07124,chris-santiago/distilbert-base-uncased-finetuned-clinc\pytorch_model.bin,torch.save,"Training in progress, step 2000",Chris Santiago,2022-08-23 20:53:48
chris-santiago/distilbert-base-uncased-finetuned-clinc,bc87b97038118eba4d7bd7f3c5285e01984a4183,chris-santiago/distilbert-base-uncased-finetuned-clinc\pytorch_model.bin,torch.save,"Training in progress, step 1500",Chris Santiago,2022-08-23 20:48:08
chris-santiago/distilbert-base-uncased-finetuned-clinc,6eb78d2a75d8e53277e366d7e877f203e0a80c02,chris-santiago/distilbert-base-uncased-finetuned-clinc\pytorch_model.bin,torch.save,"Training in progress, step 1000",Chris Santiago,2022-08-23 20:42:19
chris-santiago/distilbert-base-uncased-finetuned-clinc,e3549ba22385d1462fbee582765761534bda6ba5,pytorch_model.bin,torch.save,"Training in progress, step 500",Chris Santiago,2022-08-23 20:36:33
chris-santiago/distilbert-base-uncased-finetuned-clinc,e3549ba22385d1462fbee582765761534bda6ba5,training_args.bin,torch.save,"Training in progress, step 500",Chris Santiago,2022-08-23 20:36:33
chris-santiago/distilbert-base-uncased-finetuned-clinc,8568a2911e862279aadc8be856d39a3338af0bdb,chris-santiago/distilbert-base-uncased-finetuned-clinc\pytorch_model.bin,torch.save,"Training in progress, step 1500",Chris Santiago,2022-08-23 20:30:39
chris-santiago/distilbert-base-uncased-finetuned-clinc,1983c38eb8ef8e09807bfe19cf40cfce4e42d679,chris-santiago/distilbert-base-uncased-finetuned-clinc\pytorch_model.bin,torch.save,"Training in progress, step 1000",Chris Santiago,2022-08-23 20:24:59
chris-santiago/distilbert-base-uncased-finetuned-clinc,75b1d2d302976a2b2f242863b27e6622f82fb038,pytorch_model.bin,torch.save,"Training in progress, step 500",Chris Santiago,2022-08-23 20:19:15
chris-santiago/distilbert-base-uncased-finetuned-clinc,75b1d2d302976a2b2f242863b27e6622f82fb038,training_args.bin,torch.save,"Training in progress, step 500",Chris Santiago,2022-08-23 20:19:15
chris-santiago/distilbert-base-uncased-finetuned-clinc,3bb56e75950ffb101432f2078111848090b5fcb0,chris-santiago/distilbert-base-uncased-finetuned-clinc\pytorch_model.bin,torch.save,"Training in progress, step 2500",Chris Santiago,2022-08-23 19:37:55
chris-santiago/distilbert-base-uncased-finetuned-clinc,f58588bada9aa070c8bcc479fbfb0c5cf4c7a39b,chris-santiago/distilbert-base-uncased-finetuned-clinc\pytorch_model.bin,torch.save,"Training in progress, step 2000",Chris Santiago,2022-08-23 19:32:34
chris-santiago/distilbert-base-uncased-finetuned-clinc,474dce4d92f6f95e228b393d5993f111ecf53fa2,chris-santiago/distilbert-base-uncased-finetuned-clinc\pytorch_model.bin,torch.save,"Training in progress, step 1500",Chris Santiago,2022-08-23 19:27:10
chris-santiago/distilbert-base-uncased-finetuned-clinc,a82914536069e50598b9a58b884e098a37e25fc9,chris-santiago/distilbert-base-uncased-finetuned-clinc\pytorch_model.bin,torch.save,"Training in progress, step 1000",Chris Santiago,2022-08-23 19:21:45
chris-santiago/distilbert-base-uncased-finetuned-clinc,e726471ba6d930cf042435095d6351e542d37c75,pytorch_model.bin,torch.save,"Training in progress, step 500",Chris Santiago,2022-08-23 19:16:20
chris-santiago/distilbert-base-uncased-finetuned-clinc,e726471ba6d930cf042435095d6351e542d37c75,training_args.bin,torch.save,"Training in progress, step 500",Chris Santiago,2022-08-23 19:16:20
chris-santiago/distilbert-base-uncased-finetuned-clinc,1d54ecc0975b5a8346089a11b440804bf04768d8,chris-santiago/distilbert-base-uncased-finetuned-clinc\pytorch_model.bin,torch.save,"Training in progress, step 3000",Chris Santiago,2022-08-23 19:10:55
chris-santiago/distilbert-base-uncased-finetuned-clinc,ae9dae791a9ba448e7fd7cd74a86fa6c047b2079,chris-santiago/distilbert-base-uncased-finetuned-clinc\pytorch_model.bin,torch.save,"Training in progress, step 2500",Chris Santiago,2022-08-23 19:05:49
chris-santiago/distilbert-base-uncased-finetuned-clinc,2918886eb566d905d90cb60f17332556ca5ec24e,chris-santiago/distilbert-base-uncased-finetuned-clinc\pytorch_model.bin,torch.save,"Training in progress, step 2000",Chris Santiago,2022-08-23 19:00:39
chris-santiago/distilbert-base-uncased-finetuned-clinc,1a1623673b2952456b33552140d0a5314a9a2c95,chris-santiago/distilbert-base-uncased-finetuned-clinc\pytorch_model.bin,torch.save,"Training in progress, step 1500",Chris Santiago,2022-08-23 18:55:37
chris-santiago/distilbert-base-uncased-finetuned-clinc,9abfb48ce8359c8f06ef30467fce82153c779d25,chris-santiago/distilbert-base-uncased-finetuned-clinc\pytorch_model.bin,torch.save,"Training in progress, step 1000",Chris Santiago,2022-08-23 18:50:41
chris-santiago/distilbert-base-uncased-finetuned-clinc,399c64f36ac6f5609ec5ca2a95d58953cf3e072c,pytorch_model.bin,torch.save,"Training in progress, step 500",Chris Santiago,2022-08-23 18:45:44
chris-santiago/distilbert-base-uncased-finetuned-clinc,399c64f36ac6f5609ec5ca2a95d58953cf3e072c,training_args.bin,torch.save,"Training in progress, step 500",Chris Santiago,2022-08-23 18:45:44
chris-santiago/distilbert-base-uncased-finetuned-clinc,3a4fe89ad0308acbb9b1ff1e89798627ad38162c,chris-santiago/distilbert-base-uncased-finetuned-clinc\pytorch_model.bin,torch.save,"Training in progress, step 3000",Chris Santiago,2022-08-23 18:40:25
chris-santiago/distilbert-base-uncased-finetuned-clinc,9330278142e4c9c5847992840cfc28941fbf3b2d,chris-santiago/distilbert-base-uncased-finetuned-clinc\pytorch_model.bin,torch.save,"Training in progress, step 2500",Chris Santiago,2022-08-23 18:35:07
chris-santiago/distilbert-base-uncased-finetuned-clinc,fd3da0e8bfb82986e0b8010907382445168fb065,chris-santiago/distilbert-base-uncased-finetuned-clinc\pytorch_model.bin,torch.save,"Training in progress, step 2000",Chris Santiago,2022-08-23 18:30:06
chris-santiago/distilbert-base-uncased-finetuned-clinc,8887665ee9618968ca03ce96248fbe1edd6089a9,chris-santiago/distilbert-base-uncased-finetuned-clinc\pytorch_model.bin,torch.save,"Training in progress, step 1500",Chris Santiago,2022-08-23 18:25:02
